DRUG_TARGET,effect,color,SUBTYPE,pval,neg_log10p,ORDER,target,pathway,NEW_ORDER,
AZD8931 (ERBB1/2/3),-17.56801183,red,BL1,0.036198378,1.441310883,79,ERBB1/2/3,RTK,1,
EPZ004777 (Dot1L),-2.930534973,red,BL1,0.209349089,0.679128924,61,Dot1L,chromatin,2,
Vorinostat (HDAC),-2.906604784,red,BL1,0.012251594,1.911807415,71,HDAC,chromatin,3,
BX-795 (AURKB/C),-2.640141816,red,BL1,0.020390493,1.690572283,65,AURKB/C,mitosis,4,
CHIR-99021 (GSK3B),-2.557775895,red,BL1,0.023839234,1.622707711,41,GSK3B,WNT signaling,5,
Gemcitibine (DNA replication),-2.534392764,red,BL1,0.029646797,1.528022216,64,DNA replication,DNA replication,6,
Bortezomib (Proteasome),-2.396374045,red,BL1,0.251673745,0.599162088,91,Proteasome,other,7,
MLN8237 (AURKA),-2.373770071,red,BL1,0.253825231,0.59546521,56,AURKA,mitosis,8,
Erlotinib (EGFR),-2.201767317,red,BL1,0.07891807,1.102823546,51,EGFR,RTK,9,
YK 4-279 (RNA helicase A),-1.99407156,red,BL1,0.074116419,1.130085572,92,RNA helicase A,other,10,
Camptothecin (TOP1),-1.948159243,red,BL1,0.071730877,1.144293858,81,TOP1,DNA replication,11,
Nutlin-3a (MDM2),-1.860112296,red,BL1,0.085640205,1.067322303,12,MDM2,p53 pathway,12,
BMS-536924 (IGF-1R),-1.790856799,red,BL1,0.096616952,1.014946667,40,IGF-1R,IGFR,13,
BI-2536 (PLK1/2/3),-1.704175418,red,BL1,0.119167494,0.923842194,69,PLK1/2/3,mitosis,14,
BMN-673 (PARP1),-1.681554072,red,BL1,0.123570338,0.908085765,35,PARP1,DNA replication,15,
PD-173074 (FGFR1/3),-1.535092449,red,BL1,0.148733943,0.82758991,9,FGFR1/3,RTK,16,
"Obatoclax Mesylate (BCL-2/-XL, MCL-1)",-1.510688183,red,BL1,0.154787742,0.810263434,53,"BCL-2/-XL, MCL-1",apoptosis,17,
Vinblastine (Microtubules),-1.379542765,red,BL1,0.190996136,0.718975418,52,Microtubules,mitosis,18,
JQ1 (BRD2/3/4),-1.364712896,red,BL1,0.195499757,0.708853777,4,BRD2/3/4,chromatin,19,
NVP-AUY922 (HSP90),24.31853782,red,BL1,0.026163633,1.582301944,30,HSP90,AR,20,
NVP-BEZ235 (PI3K/mTORC1/2),1.93438377,red,BL1,0.075131346,1.124178829,84,PI3K/mTORC1/2,PI3K_mTOR,21,
OSI-906 (IGF1R),0.582154901,red,BL1,0.5733523,0.241578441,89,IGF1R,IGFR,22,
Bicalutamide (AR),0.909059025,red,BL1,0.38470485,0.414872339,33,AR,AR,23,
PLX4720 (BRAF),0.676797108,red,BL1,0.510398555,0.292090564,58,BRAF,BRAF,24,
PF-562271 (FAK),-0.073050408,red,BL1,0.943206507,0.025393212,93,FAK,cytoskeleton,25,
GDC0941 (PI3K),1.151738091,red,BL1,0.26871829,0.570702772,43,PI3K,PI3K_mTOR,26,
Everolimus (mTOR),2.595843313,red,BL1,0.048492672,1.314323886,25,mTOR,PI3K_mTOR,27,
AZ960 (JAK2),0.37330587,red,BL1,0.716712586,0.144654969,31,JAK2,other,28,
AZD8055 (mTORC1/2),1.281996509,red,BL1,0.222235464,0.653186635,70,mTORC1/2,RTK,29,
GSK2118436 (BRAF),0.764266735,red,BL1,0.46236096,0.335018843,45,BRAF,BRAF,30,
LY317615 (PKC beta),0.705130104,red,BL1,0.496824603,0.303796906,95,PKC beta,other,31,
Cyclophosphamide (DNA akyl),0.903214015,red,BL1,0.407818297,0.389533293,67,DNA akyl,DNA replication,32,
Bryostatin (PKC),2.335650746,red,BL1,0.101623238,0.993006971,2,PKC,other,33,
Temozolomide (DNA akyl),0.322430526,red,BL1,0.760172324,0.119087946,72,DNA akyl,DNA replication,34,
ZM-447439 (AURKB),1.677242207,red,BL1,0.117360714,0.930477256,27,AURKB,mitosis,35,
PF-4708671 (p70(RSK)),1.626990086,red,BL1,0.127722258,0.893733412,80,p70(RSK),RTK,36,
Carboplatin (DNA akyl),-0.19826592,red,BL1,0.850646217,0.070251025,86,DNA akyl,DNA replication,37,
Anastrozole (ER),-0.125537022,red,BL1,0.902177088,0.044708206,55,ER,other,39,
Axitinib (multi-RTK),1.003495972,red,BL1,0.33393531,0.476337656,1,multi-RTK,RTK,40,
SB-505124 (TGFbetaR-I),-1.037669028,red,BL1,0.318340721,0.497107804,3,TGFbetaR-I,other,42,
JNK Inhibitor VIII (JNK),-0.01278417,red,BL1,0.989994098,0.004367394,5,JNK,JNK and p38,44,
EHT 1864 (Rac GTPases),0.448645675,red,BL1,0.663252354,0.1783212,6,Rac GTPases,cytoskeleton,45,
BIRB 0796 (p38/JNK2),0.494652843,red,BL1,0.629099289,0.201280806,7,p38/JNK2,JNK and p38,46,
AICAR (AMPK agonist),0.547950968,red,BL1,0.603497673,0.2193244,8,AMPK agonist,metabolism,47,
CEP-701 (multi-RTK),-0.809433054,red,BL1,0.432832183,0.363680455,10,multi-RTK,RTK,49,
AZD8931 (ERBB1/2/3),1.300066148,orange,BL2,0.417413146,0.379433877,180,ERBB1/2/3,RTK,1,
EPZ004777 (Dot1L),3.613741533,orange,BL2,0.171865678,0.764810844,162,Dot1L,chromatin,2,
Vorinostat (HDAC),1.573499709,orange,BL2,0.139616351,0.855063716,172,HDAC,chromatin,3
BX-795 (AURKB/C),2.888002916,orange,BL2,0.012696923,1.896301502,166,AURKB/C,mitosis,4
CHIR-99021 (GSK3B),1.613262749,orange,BL2,0.130687691,0.883765313,142,GSK3B,WNT signaling,5
Gemcitibine (DNA replication),1.107238654,orange,BL2,0.294112979,0.53148581,165,DNA replication,DNA replication,6
Bortezomib (Proteasome),0.650401438,orange,BL2,0.632888513,0.198672787,192,Proteasome,other,7
MLN8237 (AURKA),4.930546167,orange,BL2,0.127389537,0.894866241,157,AURKA,mitosis,8
Erlotinib (EGFR),0.417749134,orange,BL2,0.693463956,0.158976107,152,EGFR,RTK,9
YK 4-279 (RNA helicase A),0.593466408,orange,BL2,0.566049632,0.247145487,193,RNA helicase A,other,10
Camptothecin (TOP1),0.928202959,orange,BL2,0.369029636,0.432938755,182,TOP1,DNA replication,11
Nutlin-3a (MDM2),0.607239126,orange,BL2,0.554151083,0.256371813,113,MDM2,p53 pathway,12
BMS-536924 (IGF-1R),2.615202352,orange,BL2,0.021380047,1.669991349,141,IGF-1R,IGFR,13
BI-2536 (PLK1/2/3),0.168807365,orange,BL2,0.869313787,0.060823432,170,PLK1/2/3,mitosis,14
BMN-673 (PARP1),1.145354175,orange,BL2,0.278733504,0.554810825,136,PARP1,DNA replication,15
PD-173074 (FGFR1/3),1.419631021,orange,BL2,0.179248223,0.746545141,110,FGFR1/3,RTK,16
"Obatoclax Mesylate (BCL-2/-XL, MCL-1)",-0.125468075,orange,BL2,0.902072566,0.044758525,154,"BCL-2/-XL, MCL-1",apoptosis,17
Vinblastine (Microtubules),-0.248729084,orange,BL2,0.807456587,0.092880818,153,Microtubules,mitosis,18
JQ1 (BRD2/3/4),1.326674636,orange,BL2,0.207449973,0.683086617,105,BRD2/3/4,chromatin,19
NVP-AUY922 (HSP90),-1.603159702,orange,BL2,0.355051134,0.449709096,131,HSP90,AR,20
NVP-BEZ235 (PI3K/mTORC1/2),-0.58540064,orange,BL2,0.568301655,0.245421079,185,PI3K/mTORC1/2,PI3K_mTOR,21
OSI-906 (IGF1R),0.157066522,orange,BL2,0.878318383,0.056348028,190,IGF1R,IGFR,22
Bicalutamide (AR),-1.097152902,orange,BL2,0.298290788,0.525360159,134,AR,AR,23
PLX4720 (BRAF),-0.529785906,orange,BL2,0.605190801,0.218107682,159,BRAF,BRAF,24
PF-562271 (FAK),0.408201225,orange,BL2,0.691729091,0.160063959,194,FAK,cytoskeleton,25
GDC0941 (PI3K),0.43722487,orange,BL2,0.6686172,0.174822455,144,PI3K,PI3K_mTOR,26
Everolimus (mTOR),-0.483891926,orange,BL2,0.648911436,0.187814572,126,mTOR,PI3K_mTOR,27
AZ960 (JAK2),-0.26124266,orange,BL2,0.799206886,0.097340783,132,JAK2,other,28
AZD8055 (mTORC1/2),0.257082069,orange,BL2,0.80113951,0.09629185,171,mTORC1/2,RTK,29
GSK2118436 (BRAF),-0.792424478,orange,BL2,0.446504699,0.350173966,146,BRAF,BRAF,30
LY317615 (PKC beta),-0.372314763,orange,BL2,0.717427496,0.144221983,196,PKC beta,other,31
Cyclophosphamide (DNA akyl),-3.350878665,orange,BL2,0.020309309,1.692304851,168,DNA akyl,DNA replication,32
Bryostatin (PKC),-2.943050526,orange,BL2,0.060361561,1.219239537,103,PKC,other,33
Temozolomide (DNA akyl),-2.543942996,orange,BL2,0.051645286,1.28696931,173,DNA akyl,DNA replication,34
ZM-447439 (AURKB),-1.954890772,orange,BL2,0.072444255,1.139996052,128,AURKB,mitosis,35
PF-4708671 (p70(RSK)),-1.763915297,orange,BL2,0.10121661,0.994748213,181,p70(RSK),RTK,36
Carboplatin (DNA akyl),-1.632547434,orange,BL2,0.163492583,0.786501944,187,DNA akyl,DNA replication,37
Anastrozole (ER),-1.45791467,orange,BL2,0.170533905,0.768189263,156,ER,other,39
Axitinib (multi-RTK),-0.322479795,orange,BL2,0.752216771,0.123656988,102,multi-RTK,RTK,40
SB-505124 (TGFbetaR-I),1.574722195,orange,BL2,0.139334205,0.855942256,104,TGFbetaR-I,other,42
JNK Inhibitor VIII (JNK),0.280946525,orange,BL2,0.783173098,0.106142239,106,JNK,JNK and p38,44
EHT 1864 (Rac GTPases),-0.753094001,orange,BL2,0.468752164,0.329056714,107,Rac GTPases,cytoskeleton,45
BIRB 0796 (p38/JNK2),-1.178003529,orange,BL2,0.259910219,0.585176644,108,p38/JNK2,JNK and p38,46
AICAR (AMPK agonist),-0.938821053,orange,BL2,0.384060469,0.415600392,109,AMPK agonist,metabolism,47
CEP-701 (multi-RTK),2.05252906,orange,BL2,0.06081863,1.215963365,111,multi-RTK,RTK,49
AZD8931 (ERBB1/2/3),3.218644592,green,LAR,0.191772066,0.717214653,382,ERBB1/2/3,RTK,1
EPZ004777 (Dot1L),11.81032383,green,LAR,0.053775402,1.269416334,364,Dot1L,chromatin,2
Vorinostat (HDAC),0.875993325,green,LAR,0.396931554,0.401284376,374,HDAC,chromatin,3
BX-795 (AURKB/C),3.228613171,green,LAR,0.006594179,2.180839248,368,AURKB/C,mitosis,4
CHIR-99021 (GSK3B),0.149417117,green,LAR,0.883517636,0.053784777,344,GSK3B,WNT signaling,5
