Model,Drug,AUC,iC50,D1_CONC,D5_CONC,perc.iC50
HCI001,(5Z)-7-Oxozeaenol,0.217813025,5.483270348,7.701322115,2.337740385,71.50744308
HCI001,17-AAG,0.301919215,18349.74114,1,0.00390625,183.0380029
HCI001,5-Fluorouracil,0.494210035,1.350264231,20,0.078125,51.39142074
HCI001,681640,0.102932316,152.1257996,2,0.0078125,150.6810891
HCI001,ABT-263,0.497307303,0.124656354,2,0.0078125,49.59134652
HCI001,AG-014699,0.234836626,18.2269798,5,0.01953125,123.3259441
HCI001,AMG-706,0.087818034,1.34E+43,2,0.0078125,1118.25434
HCI001,AZ628,0.352369341,9.279742279,1.637784091,0.370028409,127.3984101
HCI001,AZ960,0.374427293,1.350264231,7.701322115,2.337740385,-46.03935574
HCI001,AZD2281,0.063342413,1.82E+30,5.278409091,1.475142045,4861.169051
HCI001,AZD6482,0.24526973,12.36438038,4.094460227,0.925071023,139.8224724
HCI001,AZD7762,0.479530055,0.149284425,2,0.0078125,53.20169447
HCI001,AZD8055,0.406893501,0.210730901,1.637784091,0.370028409,-40.83482883
HCI001,Anastrozole,0.115727559,1.34E+43,8.102678571,1.936383929,4303.662647
HCI001,Axitinib,0.097781972,1.22466E+18,2,0.0078125,508.1055362
HCI001,BI-2536,0.201532159,448.5885537,2.057692308,0.008037861,197.1027716
HCI001,BIBW2992,0.219124611,3343633.575,0.5,0.001953125,253.3035701
HCI001,BIRB 0796,0.080122978,2.69E+43,10,0.0390625,1861.8447
HCI001,BMN-673,0.012017686,2.69E+43,7.701322115,2.337740385,8316.57576
HCI001,BMS-345541,0.210578104,3.674074636,7.701322115,2.337740385,37.92264342
HCI001,BMS-536924,0.126940983,22.2669408,3.275568182,0.740056818,228.8461465
HCI001,BMS-708163,0.177308975,17210752.8,4.094460227,0.925071023,1122.304588
HCI001,BMS-754807,0.275312834,10.95052722,8.188920455,1.850142045,99.95428804
HCI001,BX-795,0.057565262,1426.823412,5,0.01953125,186.5070332
HCI001,Bicalutamide,0.095266787,669.4834913,7.701322115,2.337740385,474.525039
HCI001,Bosutinib,0.095180933,13.87510557,2,0.0078125,130.8241754
HCI001,Bryostatin,0.093210075,2.45071E+16,1,0.00390625,780.5505886
HCI001,CEP-701,0.203946935,2.614509587,2,0.0078125,98.33104385
HCI001,CHIR-99021,0.101106531,1.34E+43,8.188920455,1.850142045,3437.701749
HCI001,Camptothecin,0.028975642,1.65E+21,0.1,0.000390625,881.645431
HCI001,Cisplatin,0.12706838,669.4834913,7.318181818,0.028586648,181.4427426
HCI001,Docetaxel,0.075871099,2.45348E+12,0.0125,4.88E-05,693.4986841
HCI001,EHT 1864,0.163510083,9.997172493,10,0.0390625,99.99490024
HCI001,Embelin,0.129323075,8.183354091,10,0.0390625,96.38455229
HCI001,FK866,0.952889745,8.20E-08,0.770132212,0.233774038,-1246.672224
HCI001,Fulvestrant,0.086824052,74.01770374,0.58984375,0.4140625,1465.643163
HCI001,GDC-0449,0.233288291,6.335888739,10,0.0390625,90.96903037
HCI001,GDC0941,0.390431027,0.755742549,3.3625,0.653125,1.561407738
HCI001,GSK1120212,0.321484998,669.4834913,0.770132212,0.233774038,667.661357
HCI001,GSK1904529A,0.253282002,22.2669408,5,0.01953125,126.936292
HCI001,GSK2118436,0.241083281,6.698622458,7.701322115,2.337740385,88.29984291
