ID,Model,Drug,AUC,iC50,D1_CONC,D5_CONC,perc.iC50,cluster.superv
HCI001-X4C,HCI001,17-AAG,0.275699437,36699.21009,1,0.00390625,289.5432674,2
HCI001-X4C,HCI001,681640,0.095479282,300.5775245,2,0.0078125,190.3949166,2
HCI001-X4C,HCI001,ABT-263,0.46147679,0.149284425,2,0.0078125,53.20169447,5
HCI001-X4C,HCI001,AMG-706,0.083548882,2.69E+43,2,0.0078125,1890.868801,1
HCI001-X4C,HCI001,AZ628,0.269395708,18.2269798,1.637784091,0.370028409,261.9850013,2
HCI001-X4C,HCI001,AZD2281,0.083434348,3.64E+30,5.278409091,1.475142045,5489.311931,1
HCI001-X4C,HCI001,AZD6482,0.219476691,22.2669408,4.094460227,0.925071023,213.8450976,2
HCI001-X4C,HCI001,AZD8055,0.468010373,0.149284425,1.637784091,0.370028409,-61.02281751,5
HCI001-X4C,HCI001,Anastrozole,0.066844461,2.69E+43,8.102678571,1.936383929,6940.134982,1
HCI001-X4C,HCI001,Axitinib,0.063641962,2.44932E+18,2,0.0078125,851.0885915,1
HCI001-X4C,HCI001,BIBW2992,0.124817506,6687266.246,0.5,0.001953125,395.9123141,1
HCI001-X4C,HCI001,BIRB 0796,0.046393752,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X4C,HCI001,BMS-536924,0.092843229,22.2669408,3.275568182,0.740056818,228.8461465,2
HCI001-X4C,HCI001,BMS-708163,0.091676083,22229191.53,4.094460227,0.925071023,1142.492577,1
HCI001-X4C,HCI001,BMS-754807,0.228750118,18.2269798,8.188920455,1.850142045,153.7889245,2
HCI001-X4C,HCI001,BX-795,0.044643242,2718.696749,5,0.01953125,213.5846428,2
HCI001-X4C,HCI001,Bosutinib,0.09896664,22.2669408,2,0.0078125,143.4603932,2
HCI001-X4C,HCI001,CEP-701,0.167166733,4.488423388,2,0.0078125,114.5776096,2
HCI001-X4C,HCI001,CHIR-99021,0.012246773,2.69E+43,8.188920455,1.850142045,6681.238596,1
HCI001-X4C,HCI001,Camptothecin,0.038063044,1.34493E+14,0.1,0.000390625,728.2056431,1
HCI001-X4C,HCI001,Cisplatin,0.074640827,669.4834913,7.318181818,0.028586648,181.4427426,2
HCI001-X4C,HCI001,GDC-0449,0.235694637,4.488423388,10,0.0390625,85.55350844,4
HCI001-X4C,HCI001,GDC0941,0.365761799,1.105281551,3.3625,0.653125,32.10447289,4
HCI001-X4C,HCI001,GSK269962A,0.044409701,1821.667387,4.094460227,0.925071023,509.9355981,2
HCI001-X4C,HCI001,GW 441756,0.006106325,2.69E+43,2,0.0078125,1890.868801,1
HCI001-X4C,HCI001,Gefitinib,0.046929628,2.69E+43,0.5,0.001953125,1915.868801,1
HCI001-X4C,HCI001,JNK Inhibitor VIII,0.020654682,2.69E+43,10,0.0390625,1861.8447,1
HCI001-X4C,HCI001,JQ1,0.06601675,1.81755E+11,3.784801136,0.196599787,931.5901869,1
HCI001-X4C,HCI001,KU-55933,0.273728812,3.007475736,10,0.0390625,78.33281254,3
HCI001-X4C,HCI001,Lenalidomide,0.052708644,1.10E+28,5,0.01953125,1235.313113,1
HCI001-X4C,HCI001,MK-2206,0.309146889,5.483270348,3.275568182,0.740056818,134.6355326,4
HCI001-X4C,HCI001,NU-7441,0.202318672,1.350264231,2,0.0078125,92.91552193,2
HCI001-X4C,HCI001,NVP-BEZ235,0.471139855,0.020163043,0.204723011,0.046253551,-55.81686684,5
