,subtype,correlation,p.value,IM,BL1,MSL,M,BL2,LAR
AB630,LAR,0.0969281384203031,1e-04,0.0102210703416144,-0.224747128879653,0.202359030699399,-0.0983209238059138,-0.0276205653576172,0.0969281384203031
AB521M,LAR,0.266507280435757,0,0.017017071074483,-0.0967528593131351,-0.0535327815021594,-0.135049236797268,0.0656786188579017,0.266507280435757
HCI001,BL1,0.626372116088507,0,-0.0574487665961876,0.626372116088507,-0.2736554041948,0.0946268373917491,-0.331226712198824,-0.242494644136307
HCI002,M,0.040606130060857,0.5377,0.0512466952966678,-0.107778906022465,0.0585288276322198,0.040606130060857,-0.0464056156327073,-0.0611409531896559
HCI014,LAR,0.579225574617331,0,0.0800789233206169,-0.339395155894554,0.045456323176061,-0.297407450428992,0.043964333143616,0.579225574617331
STG139,M,0.20739753948919,0.0133,-0.198108465103181,-0.199856581733456,0.0972435014457999,0.20739753948919,0.196483399734396,-0.0536849534423834
STG139M,BL2,0.289516220830962,0,-0.142542901912466,-0.226001054777591,0.071325700042128,0.170193737014347,0.289516220830962,0.00809891878315714
STG201,BL1,0.296193040042191,1e-04,-0.0716096003634302,0.296193040042191,-0.123694183661184,0.0744916322711261,-0.233585277935876,0.034758637584891
STG282,M,0.238077199785132,0,-0.157481260493046,-0.0976106926110468,-0.103017503648419,0.238077199785132,0.0677662682602922,-0.0534508933140596
STG316,BL2,0.129979889963954,0.1959,0.305207598125598,0.00463677080627514,0.151872905987316,-0.246872757222674,0.129979889963954,-0.0788993490623075
VHIO094,BL1,0.380616651317291,0,0.337070905908124,0.380616651317291,-0.269956603740778,-0.339828346689913,-0.357258205274142,-0.280234676453912
VHIO102,M,0.424145723043417,0,-0.217715970815142,-0.165875898332035,0.190899392580784,0.424145723043417,0.019964333143616,-0.0974872054341098
VHIO124,BL1,0.131921663085146,2e-04,-0.0718382030864231,0.131921663085146,-0.0903998125725518,0.11619498583755,0.126368431037754,-0.189809774375899
VHIO169,BL1,0.30410292740139,0,0.0225497594538518,0.30410292740139,-0.15023900842669,0.0219906705331568,0.042030734206033,-0.165965682908118
VHIO179,BL1,0.341094607252777,0,0.0193554267698381,0.341094607252777,-0.151285133097531,0.0123624344711035,-0.00854410927717701,-0.0923415291725587
