,subtype,correlation,p.value,IM,BL1,MSL,M,BL2,LAR
AB630.T,BL2,0.0896406753936634,0.0346,0.225404365042294,-0.327640053211168,0.323271281500496,-0.277792718131957,0.0896406753936634,0.0844616497071008
AB630.X0,LAR,0.126941031188285,0,0.0447463760579089,-0.19000306987508,0.160624577881677,-0.117624423967396,-0.0831014987668374,0.126941031188285
AB521M.T,LAR,0.278972607161722,0,0.210953225808107,-0.350387670122244,0.226887599723733,-0.296572678423936,0.189827357237716,0.278972607161722
AB521M.TR,LAR,0.259107764604663,0,0.0360294316685605,-0.307386276871246,0.186537282582262,-0.123860117780405,0.190962625687725,0.259107764604663
AB521M.X1,LAR,0.312334073182258,0,0.00107036971019864,-0.0907275603938886,-0.0735767790551795,-0.138599707569343,0.0480440144185164,0.312334073182258
AB521M.X1R1,LAR,0.272493054575555,0,0.0610030769786036,-0.134882754386379,-0.0752233656490085,-0.18011212535669,0.0436456080440144,0.272493054575555
AB521M.XC7,LAR,0.253512644905713,0,0.0495025932172043,-0.0306206657693186,-0.0823038227428998,-0.141966788468959,0.000545627015746538,0.253512644905713
HCI001.X0,BL1,0.634322777685944,0,-0.13047399107774,0.634322777685944,-0.284311473843274,0.189060596940607,-0.426978561942705,-0.218126827071416
HCI001.X0R,BL1,0.648136900685605,0,-0.150322607555798,0.648136900685605,-0.290485678545523,0.225388976881192,-0.395841396319484,-0.196988030832377
HCI001.X3,BL1,0.546886280806984,0,0.00365329411877216,0.546886280806984,-0.267611018964281,0.018522133701976,-0.353364446974009,-0.219895947916218
HCI001.X3C7,BL1,0.418620130509048,0,0.019921476504519,0.418620130509048,-0.269299316507511,-0.142505128052088,-0.0221809903244166,-0.0588410309067633
HCI001.X4,BL1,0.606696263411025,0,-0.103043258216096,0.606696263411025,-0.305382802706788,0.13270508873548,-0.349572377158035,-0.197489130743044
HCI001.X5,BL1,0.616097637770484,0,-0.0854656755253689,0.616097637770484,-0.308407514382193,0.122623854859987,-0.385551887687346,-0.201192856419888
HCI001.X5R,BL1,0.649540542029738,0,-0.00626258537414799,0.649540542029738,-0.283631972014484,0.0428105084587666,-0.481051792828685,-0.175422860853767
HCI002.X0,M,0.0463075736852913,0.3252,0.0321144682074451,-0.0253474075298526,-0.0726417859447504,0.0463075736852913,-0.0627941567065073,-0.0596215840244024
HCI002.X0R,UNS,NA,NA,0.13765514768649,-0.144854023504223,0.0205026773977223,-0.0757654786748297,-0.0111682792638968,-0.00304564412457402
HCI002.X2,M,0.0258981843964477,0.4864,0.0640987230935919,-0.0349490322022024,-0.0271890011694532,0.0258981843964477,-0.146344147220641,-0.0272608440852894
HCI002.X3R,M,0.0171367052468587,0.5388,0.0401069996900275,-0.111419620437497,0.0471273505115895,0.0171367052468587,-0.0216080440144185,-0.00781331554617434
HCI002.X4C7,UNS,NA,NA,0.1562271603268,-0.115527743012098,-0.0648640178526613,-0.123146761847,-0.0723073420603301,-0.0740412977065905
HCI002.X6,M,0.157370661456648,0.0647,-0.0144081850472855,-0.0837663431490621,0.0346259462820148,0.157370661456648,-0.0944132043255549,-0.0359828997801501
HCI002.X6R,M,0.0712281493668887,0.0273,0.0148802218445976,-0.0570259994804827,-0.00158256731643421,0.0712281493668887,-0.0967140959969645,-0.0285848576889668
HCI014.X0,LAR,0.576368843165751,0,0.0874084744882657,-0.322620886170606,0.0200345891562873,-0.315334041707346,0.0202595332953899,0.576368843165751
STG139.T,BL2,0.284282299373933,9e-04,0.110063052964241,-0.436231295408569,0.335117402028361,-0.16752487155163,0.284282299373933,-0.0641211198057777
STG139.TR,BL2,0.224114589262,0.0252,0.248242349791775,-0.55242307601483,0.55901852120812,-0.307821775227597,0.224114589262,0.0496198969700871
STG139.TR1,BL2,0.28233276418137,0.0025,0.0658466613331434,-0.506319849497406,0.45906065629695,-0.124876234960643,0.28233276418137,-0.0648663409537716
STG139.X0,BL2,0.208555492316448,0.0037,-0.113264274527286,-0.176876913752253,-0.0203435196627056,0.0867150273273791,0.208555492316448,-0.062863178874747
STG139.X12,M,0.290696802648448,0,-0.288303558697653,-0.18247463417322,0.0755305972543978,0.290696802648448,0.159720736103206,-0.0669709643573924
STG139.X13,M,0.248116079217025,7e-04,-0.214868027177952,-0.146865185255154,0.0428347314234311,0.248116079217025,0.16382318345665,-0.0525648071929693
STG139.X13R,M,0.227634930790405,1e-04,-0.221865129148111,-0.193092781070678,0.0833148797531911,0.227634930790405,0.158448112312654,-0.0346092135838537
STG139.X14,M,0.138784265840245,0.1193,-0.184033458664105,-0.109214190694343,-0.0313165222272728,0.138784265840245,0.138300132802125,-0.0223176464615476
STG139.X2,M,0.200251419871868,0.0306,-0.184788263684245,-0.0632710699695374,-0.00281908606810704,0.200251419871868,0.0759377727186492,-0.116897947157771
STG139.X2R,BL2,0.203055207740467,0.0032,-0.210814907923243,-0.166938232539102,0.00423020497932191,0.186518502709078,0.203055207740467,-0.0216133688313191
STG139.X3,M,0.183187836894303,0,-0.232223274674844,-0.14339811556899,0.0404720873372916,0.183187836894303,0.121001707455891,-0.00353858178342973
STG139.X5,BL2,0.116975905900209,0.0903,-0.161417890154095,-0.150494879605797,-0.00788387324876696,0.116757034172441,0.116975905900209,0.00302249885034116
STG139.X5R,M,0.183051475059221,5e-04,-0.185515189005716,-0.194082225423289,0.0289078672146454,0.183051475059221,0.180954657560235,-0.00826367534749228
STG139.X5R2,M,0.208740126668023,0.2639,-0.146355558766163,-0.19114159995592,0.0444709371461453,0.208740126668023,0.132352874217416,0.0305299676413951
STG139M.X0,BL2,0.292366533864542,1e-04,-0.169805275973627,-0.205240827764265,0.0126226823299249,0.162451003941495,0.292366533864542,0.0752055144475541
STG139M.X2,BL2,0.311512047049896,0,-0.173516274584991,-0.18982911028723,0.015232838721146,0.163339765691323,0.311512047049896,0.00929109879421434
STG139M.X2R,BL2,0.321305255169797,0,-0.121165332502417,-0.249072346722712,0.0182617800742858,0.10315118034045,0.321305255169797,0.035862487671835
STG139M.X5,BL2,0.258333523050654,1e-04,-0.153283852991646,-0.220451822639935,0.00467002116432319,0.179951811353503,0.258333523050654,0.00582294477380747
STG139M.X5R,M,0.210611560192626,0.0023,-0.183488480794697,-0.165850552183941,-0.0265869926607007,0.210611560192626,0.16595864162398,0.0109934384375666
STG139M.X5R1,BL2,0.219087080250427,5e-04,-0.187683132744485,-0.183265402507852,0.00631169852000647,0.192247598430023,0.219087080250427,0.0506058573112549
STG201.T,BL1,0.142222589557702,0.0042,0.143028014072332,0.142222589557702,-0.108831705364351,-0.136519666239195,0.00518231834566496,-0.011350187413426
STG201.TR,BL1,0.135870152155603,0.0041,0.131748082500783,0.135870152155603,-0.0937506195130476,-0.126689784078994,0.00543122747106811,-0.0092532066738274
