"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"YWHAB"	"14-3-3_beta-R-V_GBL9032501.txt"	"14-3-3_beta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-628"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAE"	"14-3-3_epsilon-M-C_GBL9013486.txt"	"14-3-3_epsilon-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-23957"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"YWHAZ"	"14-3-3_zeta-R-V_GBL9032498.txt"	"14-3-3_zeta-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"sc-1019"	"14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints"
"EIF4EBP1"	"4E-BP1-R-V_GBL9013200.txt"	"4E-BP1-R-V"	"Validated"	"Rabbit"	"CST"	"9452"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pS65-R-V_GBL9013201.txt"	"4E-BP1_pS65-R-V"	"Validated"	"Rabbit"	"CST"	"9456"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT37_T46-R-V_GBL9013202.txt"	"4E-BP1_pT37_T46-R-V"	"Validated"	"Rabbit"	"CST"	"9459"	"Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway"
"EIF4EBP1"	"4E-BP1_pT70-R-V_GBL9013203.txt"	"4E-BP1_pT70-R-V"	"Use with Caution"	"Rabbit"	"CST"	"9455"	"Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway"
"TP53BP1"	"53BP1-R-C_GBL9013204.txt"	"53BP1-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"4937"	"Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling"
"ACACA"	"ACC1-R-C_GBL9013206.txt"	"ACC1-R-C"	"Under Evaluation"	"Rabbit"	"Epitomics"	"1768-1"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"ACACA ACACB"	"ACC_pS79-R-V_GBL9013205.txt"	"ACC_pS79-R-V"	"Validated"	"Rabbit"	"CST"	"3661"	"Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation"
"TUBA1B"	"Acetyl-a-Tubulin-Lys40-R-E_GBL9013509.txt"	"Acetyl-a-Tubulin-Lys40-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"5335"	"The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons"
"ACVRL1"	"ACVRL1-R-C_GBL9032499.txt"	"ACVRL1-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"2940-1"	"TNF beta superfamily"
"ADAR"	"ADAR1-M-V_GBL9032506.txt"	"ADAR1-M-V"	"Validated"	"Mouse"	"Abcam"	"ab88574"	"Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing."
"AKT1 AKT2 AKT3"	"Akt-R-V_GBL9013465.txt"	"Akt-R-V"	"Validated"	"Rabbit"	"CST"	"9272"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pS473-R-V_GBL9013208.txt"	"Akt_pS473-R-V"	"Validated"	"Rabbit"	"CST"	"9271"	"PI3K/AKT/mTOR pathway"
"AKT1 AKT2 AKT3"	"Akt_pT308-R-V_GBL9013209.txt"	"Akt_pT308-R-V"	"Validated"	"Rabbit"	"CST"	"9275"	"PI3K/AKT/mTOR pathway"
"PRKAA1"	"AMPK_alpha-R-C_GBL9013210.txt"	"AMPK_alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2532"	"Involved in energy homeostasis regulation"
"PRKAA1"	"AMPK_pT172-R-V_GBL9013211.txt"	"AMPK_pT172-R-V"	"Validated"	"Rabbit"	"CST"	"2535"	"Involved in energy homeostasis regulation"
"ANXA1"	"Annexin-1-M-E_GBL9032503.txt"	"Annexin-1-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction"	"610066"	"Apoptosis"
"ANXA7"	"Annexin_VII-M-V_GBL9029123.txt"	"Annexin_VII-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"610668"	"Apoptosis"
"AR"	"AR-R-V_GBL9013213.txt"	"AR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1852-1"	"Androgen receptor (AR). Transcription Factor"
"ARAF"	"A-Raf-R-V_GBL9032543.txt"	"A-Raf-R-V"	""	""	""	""	""
"ARAF"	"A-Raf_pS299-R-C_GBL9013439.txt"	"A-Raf_pS299-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4431"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"ARID1A"	"ARID1A-M-V_GBL9013497.txt"	"ARID1A-M-V"	"Validated"	"Mouse"	"Abgent"	"AT1188a"	"Involves in PI3K/PTEN signaling"
"ASNS"	"ASNS-R-V_GBL9013505.txt"	"ASNS-R-V"	"Validated"	"Rabbit"	"Sigma"	"HPA029318"	"The protein encoded by ASNS gene is involved in the synthesis of asparagine. "
