SAMPLE,CELL,TREAT,CIITA,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DMA,HLA-DQB1
b-BT549_4_MAK683,BT549,4-MAK683,5.043168165,3.937567526,3.756256651,3.312685381,4.789933935,4.60500487
b-BT549_4_MAK683,BT549,4-MAK683,4.578126323,3.772617067,3.960430565,3.312685381,5.0527976,4.416908953
b-BT549_4_MAK683,BT549,4-MAK683,4.874509031,3.765461503,3.765461503,3.312685381,4.483172991,4.483172991
b-BT549_3_CP1205,BT549,3-CP1205,4.849836696,3.964767399,3.312685381,3.775721996,5.201803231,4.331230797
b-BT549_3_CP1205,BT549,3-CP1205,4.86064693,3.969699058,3.312685381,3.312685381,4.918131521,4.517203806
b-BT549_3_CP1205,BT549,3-CP1205,4.361581088,3.312685381,3.312685381,3.312685381,4.697362577,4.132110245
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,4.767853743,4.416731243,3.816009743,3.312685381,5.345406126,5.198954491
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,5.374820514,4.429790218,3.312685381,3.312685381,4.857419031,4.336506042
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,4.526554033,4.12040699,3.312685381,3.783052176,4.872255868,5.088288697
b-BT549_1_UNT,BT549,1-UNT,3.981967268,3.312685381,3.312685381,3.312685381,4.25107363,3.312685381
b-BT549_1_UNT,BT549,1-UNT,5.138414132,3.312685381,3.312685381,3.312685381,4.242411854,3.312685381
b-BT549_1_UNT,BT549,1-UNT,4.948992679,3.983400291,3.312685381,3.312685381,3.983400291,3.312685381
a-CAL120_4_MAK683,CAL120,4-MAK683,5.544215814,3.923301717,4.355373533,3.746055139,5.174251373,3.312685381
a-CAL120_4_MAK683,CAL120,4-MAK683,5.060353365,3.926871986,3.312685381,3.312685381,4.922595223,3.312685381
a-CAL120_4_MAK683,CAL120,4-MAK683,5.69842363,3.312685381,4.154808778,3.312685381,5.388694059,3.912320891
a-CAL120_3_CPI1205,CAL120,3-CP1205,6.178976547,4.265651972,4.265651972,3.745035631,5.827652387,3.921875638
a-CAL120_3_CPI1205,CAL120,3-CP1205,6.603580764,4.052740003,4.261413828,3.743058561,5.669358895,3.312685381
a-CAL120_3_CPI1205,CAL120,3-CP1205,6.262597218,4.430265154,4.503437768,3.744122402,5.914359409,3.920598161
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,6.727913338,4.347045614,3.918290482,3.312685381,6.071761323,3.918290482
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,6.425061357,4.050085106,4.423723873,3.916919164,5.713633266,3.916919164
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,5.784249181,4.448231648,4.367681686,3.312685381,5.949159516,3.312685381
a-CAL120_1_UNT,CAL120,1-UNT,4.746590202,3.312685381,3.312685381,3.312685381,5.013826828,3.312685381
a-CAL120_1_UNT,CAL120,1-UNT,4.856070216,3.312685381,3.312685381,3.312685381,5.008426944,3.759659749
a-CAL120_1_UNT,CAL120,1-UNT,4.744005253,4.082053831,3.943309874,3.312685381,4.616312168,3.312685381
c-CAL51_4_MAK683,CAL51,4-MAK683,5.167200821,3.935505853,4.531455713,3.754782022,6.072634605,5.356563281
c-CAL51_4_MAK683,CAL51,4-MAK683,4.605094911,3.937613224,4.67036065,3.312685381,5.994866737,5.172817027
c-CAL51_4_MAK683,CAL51,4-MAK683,5.194347627,3.312685381,4.201017183,3.76208225,5.954602584,5.349706039
c-CAL51_3_CP1205,CAL51,3-CP1205,5.043047498,3.312685381,4.53523448,3.756222368,6.120334066,5.043047498
c-CAL51_3_CP1205,CAL51,3-CP1205,4.898528335,4.075395733,4.605485636,3.312685381,6.121360857,4.605485636
c-CAL51_3_CP1205,CAL51,3-CP1205,4.887837787,3.312685381,4.64185447,3.769665656,6.800555249,4.94176609
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,5.356020368,3.754646639,4.726933384,3.312685381,6.334043421,5.037498629
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,4.74699442,4.199635362,4.74699442,3.761367066,6.204697292,5.061127711
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,5.006304774,4.19514293,4.678272994,3.75904245,6.455752424,5.570311547
c-CAL51_1_UNT,CAL51,1-UNT,4.724483364,3.312685381,3.312685381,3.312685381,5.691187593,3.312685381
c-CAL51_1_UNT,CAL51,1-UNT,5.068531691,3.312685381,3.312685381,3.312685381,5.550347271,3.312685381
c-CAL51_1_UNT,CAL51,1-UNT,4.679572906,3.312685381,3.942094559,3.312685381,5.821559274,3.312685381
