,ensembl_gene_id,gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,BT549_MAK683_5_1,BT549_MAK683_5_2,BT549_MAK683_5_3,BT549_CP1205_5_1,BT549_CP1205_5_2,BT549_CP1205_5_3,BT549_TAZMETOSTAT_5_1,BT549_TAZMETOSTAT_5_2,BT549_TAZMETOSTAT_5_3,BT549_UNT_0_1,BT549_UNT_0_2,BT549_UNT_0_3
5493,ENSG00000113361.12,CDH6,2.797577481,3.76879067,22.27602369,1.62542E-11,2.5429E-07,16.82379196,513,489,413,450,393,376,330,458,452,56,58,61
5596,ENSG00000151883.17,PARP8,3.821880921,3.382593229,20.72415948,3.95547E-11,2.5429E-07,15.79311581,446,429,383,375,413,401,254,421,429,25,29,24
12015,ENSG00000166086.12,JAM3,2.802016176,5.016078361,20.4633857,4.62148E-11,2.5429E-07,15.92306308,1288,1127,1007,1009,878,812,920,1206,980,131,134,152
8535,ENSG00000104213.12,PDGFRL,2.718242885,2.921262708,20.36329552,4.90836E-11,2.5429E-07,15.66996503,293,220,243,240,246,215,214,228,215,34,30,37
10636,ENSG00000107438.8,PDLIM1,1.578778238,6.220161969,19.84558885,6.7328E-11,2.79048E-07,15.53604406,2071,2040,2192,1911,1839,1690,1541,2051,1790,570,617,630
5086,ENSG00000138795.9,LEF1,6.88643635,-0.042815286,19.02334844,1.13053E-10,3.90467E-07,12.67927137,73,60,61,58,58,45,51,76,78,0,0,0
1531,ENSG00000143153.12,ATP1B1,-1.220179164,6.346949334,-17.59797808,2.92399E-10,8.65628E-07,14.02064891,1475,1171,1287,1415,1304,1278,1044,1319,1207,2719,2847,2937
12060,ENSG00000118971.7,CCND2,8.834948214,2.478708331,16.9387433,4.65005E-10,1.0227E-06,12.19782965,600,552,440,460,390,422,555,557,546,0,1,1
2555,ENSG00000168874.12,ATOH8,1.720773132,4.751758792,16.85349889,4.94353E-10,1.0227E-06,13.54597511,780,785,707,618,728,636,570,733,785,205,192,212
14254,ENSG00000134138.19,MEIS2,1.772248785,3.402344767,16.83380215,5.01414E-10,1.0227E-06,13.55754473,307,257,292,278,277,263,268,300,257,77,71,84
8608,ENSG00000240694.8,PNMA2,2.653435299,4.886357744,16.72389376,5.42859E-10,1.0227E-06,13.46723428,1015,850,746,1098,915,856,631,1149,1004,137,126,149
8881,ENSG00000104369.4,JPH1,4.577732893,-1.77345835,16.59327894,5.96963E-10,1.03091E-06,11.53502113,14,14,15,13,11,11,10,10,11,0,0,0
9364,ENSG00000171843.15,MLLT3,4.107608224,5.088478824,16.30673035,7.37093E-10,1.04855E-06,13.17521276,1163,1309,947,1290,1593,1401,1115,1577,1888,83,70,69
5331,ENSG00000164107.8,HAND2,4.576117021,0.926668412,16.29165923,7.45382E-10,1.04855E-06,12.34104745,100,80,92,74,72,75,74,76,87,2,2,5
9741,ENSG00000165152.8,TMEM246,6.347475291,0.081472294,16.24412972,7.7219E-10,1.04855E-06,11.62184161,72,81,61,52,55,57,49,63,64,0,0,1
1433,ENSG00000163565.18,IFI16,4.252532506,4.553266105,16.12360443,8.44929E-10,1.04855E-06,13.03402457,1007,967,663,897,842,858,1070,1177,1163,55,46,41
13406,ENSG00000165300.7,SLITRK5,4.59651352,3.133102308,16.04730051,8.94767E-10,1.04855E-06,12.80601495,371,383,389,439,448,356,219,436,397,19,13,12
10778,ENSG00000148700.14,ADD3,5.714389555,4.355294928,16.02376086,9.10773E-10,1.04855E-06,12.8601634,1018,1008,955,1064,1144,953,667,1429,1603,22,17,18
14426,ENSG00000069974.15,RAB27A,1.391370041,4.089855981,15.93992609,9.70328E-10,1.05832E-06,12.87735783,487,382,406,445,416,382,391,451,414,156,152,148
18807,ENSG00000154930.14,ACSS1,3.116032991,2.951412573,15.64452454,1.21593E-09,1.25989E-06,12.63956126,333,276,211,307,262,236,195,248,263,34,30,21
12863,ENSG00000136026.13,CKAP4,0.979925852,7.175179431,15.48286455,1.378E-09,1.35982E-06,12.41635218,3835,3303,3264,3657,3317,3228,2742,3371,3164,1536,1623,1650
5850,ENSG00000174136.11,RGMB,-1.315481794,4.405862723,-15.0649293,1.91493E-09,1.80378E-06,12.10614048,402,325,346,339,317,328,281,341,268,785,733,809
4392,ENSG00000085276.17,MECOM,5.645849787,0.85584813,14.95128608,2.09716E-09,1.88954E-06,11.30834645,115,85,117,94,77,97,56,103,106,1,2,1
8895,ENSG00000171033.12,PKIA,5.627664677,0.842527102,14.79482763,2.37917E-09,2.03633E-06,11.21024371,129,113,106,91,70,89,69,79,92,2,1,1
12731,ENSG00000067715.13,SYT1,-1.293820087,4.5133657,-14.7553433,2.45661E-09,2.03633E-06,11.84422714,413,354,313,435,343,338,281,346,369,829,804,845
9147,ENSG00000168672.3,FAM84B,2.114257528,5.183981809,14.66146535,2.65182E-09,2.1136E-06,11.81828803,1030,919,916,1160,1266,1106,691,1091,1050,199,225,248
13544,ENSG00000165795.23,NDRG2,6.371466304,0.628463679,14.54112275,2.9268E-09,2.13618E-06,10.84542585,132,110,80,88,72,91,73,97,78,0,1,1
7406,ENSG00000146477.5,SLC22A3,6.537577813,0.22424029,14.51747229,2.98436E-09,2.13618E-06,10.67926805,63,66,74,70,65,54,58,91,95,1,0,0
10528,ENSG00000156113.22,KCNMA1,-1.195386029,7.82877652,-14.51542832,2.98939E-09,2.13618E-06,11.61903369,3902,3823,3943,3915,3447,3512,2564,3808,3451,7621,7746,8072
3353,ENSG00000115468.11,EFHD1,3.269936534,2.599567119,14.44906928,3.1578E-09,2.1813E-06,11.68847475,250,245,214,181,176,174,158,255,225,18,17,26
20435,ENSG00000126016.15,AMOT,2.459534525,4.884203052,14.11589031,4.1724E-09,2.7397E-06,11.38283087,888,871,732,1040,915,884,548,1122,1003,147,143,165
1412,ENSG00000132692.18,BCAN,6.515795912,0.210317866,14.08342528,4.28856E-09,2.7397E-06,10.41303468,77,69,48,68,72,69,57,101,68,0,1,0
10380,ENSG00000107984.9,DKK1,3.205091652,6.145328065,14.06317025,4.36279E-09,2.7397E-06,11.29478597,2025,1942,1749,2090,2803,2577,2792,2639,3224,261,264,217
10452,ENSG00000099284.13,H2AFY2,5.385733068,1.154821436,14.00609211,4.5795E-09,2.79121E-06,10.80770528,145,133,134,98,76,103,101,115,93,2,2,2
10021,ENSG00000130558.19,OLFM1,-0.946016299,7.873975261,-13.87544617,5.12031E-09,3.0013E-06,11.05703127,4388,4003,4079,4003,3845,3656,3307,3784,3641,6517,7151,7615
7546,ENSG00000006468.13,ETV1,5.506108272,1.570646883,13.85436015,5.21385E-09,3.0013E-06,10.77222454,147,129,110,149,147,141,140,189,206,3,3,2
7121,ENSG00000112320.11,SOBP,4.381961137,1.224364087,13.76173068,5.64706E-09,3.16281E-06,10.78823685,114,84,76,109,82,89,82,130,111,4,3,5
8598,ENSG00000277586.2,NEFL,6.442128556,-0.376308102,13.697104,5.97214E-09,3.25686E-06,10.05517646,61,56,49,29,41,36,35,51,58,0,0,0
2415,ENSG00000115902.10,SLC1A4,2.180548508,2.541929703,13.46372889,7.32413E-09,3.89174E-06,10.89871371,169,162,172,194,129,152,154,187,163,30,33,40
5599,ENSG00000213949.8,ITGA1,6.760445941,1.978197997,13.33836824,8.18318E-09,4.2395E-06,10.2991668,243,225,192,288,247,299,158,286,316,1,4,1
5906,ENSG00000171444.17,MCC,1.57692877,3.85753112,13.24556845,8.88862E-09,4.4442E-06,10.63358745,431,365,394,433,371,329,257,421,343,110,118,125
8914,ENSG00000164684.13,ZNF704,5.288817737,2.272179298,13.23074646,9.00722E-09,4.4442E-06,10.45504883,202,215,191,267,205,229,192,327,307,5,4,7
10393,ENSG00000165449.11,SLC16A9,2.255422295,4.33509288,13.19033744,9.33926E-09,4.50087E-06,10.58087185,617,466,516,650,556,640,411,676,728,101,121,124
5909,ENSG00000152503.9,TRIM36,2.10600089,2.927450636,13.14768762,9.70403E-09,4.57038E-06,10.61122481,235,226,213,206,169,181,201,262,222,52,42,46
3608,ENSG00000173705.8,SUSD5,1.328871344,6.494544371,13.11387713,1.00041E-08,4.60699E-06,10.36131446,2084,1947,2304,2332,2055,2085,1847,2770,2443,817,840,844
16983,ENSG00000141401.11,IMPA2,-1.244094369,5.081613239,-13.06592007,1.04469E-08,4.68484E-06,10.31846503,567,567,629,522,521,438,512,511,495,1112,1185,1287
17068,ENSG00000166974.12,MAPRE2,1.484695769,4.989661038,13.03938154,1.07009E-08,4.68484E-06,10.36000319,883,780,868,793,733,650,622,999,884,252,274,287
8536,ENSG00000129422.14,MTUS1,7.00246497,0.571313505,13.01437769,1.09463E-08,4.68484E-06,9.712413562,135,107,107,86,76,113,54,102,110,0,1,0
9393,ENSG00000120162.9,MOB3B,3.706996564,1.849381842,13.00126619,1.10774E-08,4.68484E-06,10.38179343,152,136,153,115,128,122,103,133,153,9,5,17
17048,ENSG00000170558.8,CDH2,3.323965828,2.094529505,12.95731846,1.15293E-08,4.77843E-06,10.40569873,176,161,193,142,146,125,99,169,128,10,13,19
1612,ENSG00000135821.17,GLUL,1.204962029,6.708634647,12.8104205,1.31892E-08,5.35921E-06,10.06586951,2680,2464,2366,2576,2314,2176,2477,2848,2560,932,1021,1153
19902,ENSG00000008735.13,MAPK8IP2,2.259922162,2.745213373,12.64650799,1.53493E-08,6.03035E-06,10.15998734,168,185,172,208,190,206,180,227,191,44,29,42
20308,ENSG00000072133.10,RPS6KA6,3.584801475,-0.928435511,12.59587003,1.60912E-08,6.03035E-06,9.564773457,18,22,15,19,20,17,20,15,21,1,1,1
11883,ENSG00000137726.16,FXYD6,6.406067194,-0.400106525,12.58130933,1.63116E-08,6.03035E-06,9.299475586,46,40,30,40,36,42,42,71,61,0,0,0
877,ENSG00000137941.16,TTLL7,2.079512522,4.061627524,12.57616318,1.63902E-08,6.03035E-06,10.01345895,648,544,532,429,370,391,389,456,463,106,112,95
17224,ENSG00000101493.10,ZNF516,2.993741844,3.157139614,12.56410958,1.65761E-08,6.03035E-06,10.08508796,359,290,234,372,277,305,201,355,255,33,26,47
16099,ENSG00000109107.13,ALDOC,-1.303281207,5.078093731,-12.56341421,1.65869E-08,6.03035E-06,9.834265359,584,547,514,571,450,456,566,543,471,1140,1240,1305
778,ENSG00000134716.9,CYP2J2,4.527125018,-1.812075677,12.53869296,1.69754E-08,6.0652E-06,9.199625825,14,11,8,19,12,11,10,13,9,0,0,0
5083,ENSG00000164023.14,SGMS2,3.141057758,2.563987039,12.51575146,1.73447E-08,6.09212E-06,10.04366539,209,226,238,191,197,205,111,217,206,16,21,27
7982,ENSG00000158560.14,DYNC1I1,3.925933822,-0.184545696,12.46779042,1.8145E-08,6.22631E-06,9.581097832,35,44,26,28,33,34,26,36,40,1,2,2
9289,ENSG00000080503.22,SMARCA2,4.923484631,3.118000167,12.45715794,1.83277E-08,6.22631E-06,9.955141842,531,489,568,344,345,325,230,443,384,10,13,13
7176,ENSG00000111817.16,DSE,2.652555032,5.089864736,12.40750301,1.92075E-08,6.38913E-06,9.802124937,929,848,816,1053,1028,975,1006,1448,1455,150,171,153
12939,ENSG00000135144.7,DTX1,4.756102992,-1.637287846,12.39568308,1.94236E-08,6.38913E-06,9.108889539,15,11,12,17,16,8,16,14,17,0,0,0
4486,ENSG00000113790.10,EHHADH,3.018079816,1.432574222,12.33983749,2.04802E-08,6.63144E-06,9.815562795,88,96,74,104,82,72,77,104,97,15,8,8
4173,ENSG00000244300.2,GATA2-AS1,1.789177258,2.817653287,12.29411416,2.13913E-08,6.72805E-06,9.81023737,197,197,149,201,185,190,174,193,187,41,56,57
6749,ENSG00000231389.7,HLA-DPA1,4.295816419,-1.980365062,12.29231923,2.1428E-08,6.72805E-06,9.010144582,12,12,7,9,12,8,12,8,10,0,0,0
7619,ENSG00000005020.12,SKAP2,1.770329001,4.042301353,12.2733497,2.18193E-08,6.74869E-06,9.704719422,486,422,358,443,383,376,456,502,489,126,121,115
16951,ENSG00000088756.12,ARHGAP28,5.627683153,-0.456125524,12.18385737,2.37721E-08,7.24454E-06,9.078233916,44,37,25,34,49,30,37,36,46,0,0,1
11329,ENSG00000166900.16,STX3,1.811177975,3.423528236,12.08679528,2.6104E-08,7.83989E-06,9.569448497,313,260,298,286,247,231,263,359,313,64,83,85
15529,ENSG00000172137.18,CALB2,6.363121138,0.099435639,12.06762097,2.6593E-08,7.87267E-06,9.003803895,63,57,61,44,58,49,70,78,89,0,1,0
6470,ENSG00000137285.9,TUBB2B,1.826515696,3.259704433,12.03026951,2.75741E-08,8.04815E-06,9.525716233,335,299,285,248,213,219,208,250,250,69,77,59
10467,ENSG00000107736.19,CDH23,4.927445467,-1.507905797,12.01574712,2.7966E-08,8.04917E-06,8.835452824,17,13,10,20,17,11,18,16,21,0,0,0
1157,ENSG00000092621.12,PHGDH,1.380160633,6.351008075,11.99290123,2.85947E-08,8.11736E-06,9.265912739,2195,1917,1887,2078,1810,1875,2366,2059,1894,716,768,721
6544,ENSG00000007944.14,MYLIP,2.856034718,3.908051034,11.89798728,3.13734E-08,8.64105E-06,9.396252293,671,570,627,412,386,339,407,485,483,56,77,56
19023,ENSG00000101040.19,ZMYND8,-0.994855225,6.002019149,-11.89662345,3.14154E-08,8.64105E-06,9.1492551,1222,1150,1098,1187,993,934,854,1099,902,1942,1953,2059
7772,ENSG00000132437.17,DDC,-2.711331334,-4.593769065,-11.88773956,3.16904E-08,8.64105E-06,8.907665041,0,0,0,0,0,0,0,0,0,2,3,3
