,ensembl_gene_id,gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,CAL120_MAK683_5_A,CAL120_MAK683_5_B,CAL120_MAK683_5_C,CAL120_CPI1205_5_A,CAL120_CPI1205_5_B,CAL120_CPI1205_5_C,CAL120_TAZMETOSTAT_5_A,CAL120_TAZMETOSTAT_5_B,CAL120_TAZMETOSTAT_5_C,CAL120_UNT_0_A,CAL120_UNT_0_B,CAL120_UNT_0_C
14591,ENSG00000167178.15,ISLR2,6.448215326,-0.045941311,7.150843998,1.26702E-05,0.000290126,3.000692085,63,87,52,56,55,43,114,108,75,0,1,0
2223,ENSG00000213626.11,LBH,5.949198611,3.401855594,6.823747964,1.99284E-05,0.000397462,3.197145478,512,367,500,993,846,926,771,786,841,10,13,7
10806,ENSG00000169129.14,AFAP1L2,5.597389273,0.862337966,8.201834981,3.22874E-06,0.000114179,4.456871813,86,78,85,116,120,100,165,177,118,2,1,2
6749,ENSG00000231389.7,HLA-DPA1,5.517358336,-0.7437322,9.349703008,8.32669E-07,4.53802E-05,4.848272258,30,21,35,33,43,39,34,45,53,0,0,1
18466,ENSG00000105605.7,CACNG7,5.509926854,-0.505009699,7.884659478,4.81211E-06,0.000151552,3.762744152,27,42,43,42,28,52,69,51,42,0,2,0
4481,ENSG00000090539.15,CHRD,5.486036996,-0.242420012,4.075777485,0.001586696,0.008641551,-0.899013158,18,25,30,49,60,66,84,121,82,1,0,1
19825,ENSG00000138944.7,KIAA1644,5.470305502,-1.308825644,9.540014632,6.7347E-07,4.07182E-05,4.785846075,24,20,22,16,21,20,46,31,25,0,0,0
14558,ENSG00000140332.15,TLE3,5.463203778,-1.312827134,6.951121748,1.66792E-05,0.000349842,2.673696013,18,18,17,20,14,24,41,40,40,0,0,0
16424,ENSG00000186868.15,MAPT,5.308377738,-0.902158341,6.688818481,2.41187E-05,0.000454373,2.501762771,16,25,22,46,35,22,46,40,45,1,0,0
5793,ENSG00000038427.15,VCAN,5.279714556,-0.396465577,4.171616296,0.001339189,0.007667802,-0.750177835,38,20,20,41,40,31,90,100,86,1,1,0
12153,ENSG00000175899.14,A2M,5.243576516,3.063576792,4.242593575,0.00118193,0.006989967,-0.784578942,315,162,309,547,688,640,788,735,679,9,14,11
4924,ENSG00000169116.11,PARM1,5.149306967,-1.020124194,8.8919445,1.40687E-06,6.37954E-05,4.500855512,30,21,22,20,33,22,36,30,44,1,0,0
3236,ENSG00000079308.16,TNS1,5.123766491,-1.566611088,9.919664692,4.45388E-07,3.11331E-05,5.009370209,19,15,18,12,16,20,17,28,30,0,0,0
11860,ENSG00000166741.7,NNMT,5.111726828,0.349532479,5.665817946,0.000111016,0.001310876,1.480499652,53,30,64,97,81,96,91,85,86,2,0,5
18231,ENSG00000104967.6,NOVA2,5.10919704,-1.052016734,9.486192195,7.1488E-07,4.20865E-05,4.928633355,17,21,20,30,36,32,34,30,29,1,0,0
4131,ENSG00000082684.14,SEMA5B,5.055890224,-1.625747154,2.313252412,0.039558538,0.098494724,-3.670694154,4,1,8,28,21,26,65,46,77,0,0,0
6873,ENSG00000112655.15,PTK7,5.051235127,1.017164305,4.065436538,0.001616097,0.008755655,-0.933640577,58,68,58,102,108,118,216,225,211,4,4,1
10258,ENSG00000165757.8,JCAD,5.048551572,-0.321880176,8.080666159,3.75545E-06,0.000126956,4.103694847,30,37,36,36,49,52,49,77,49,0,1,2
9096,ENSG00000147676.13,MAL2,5.032175818,-1.635602882,9.681637248,5.76336E-07,3.69765E-05,4.855902124,21,21,21,20,13,11,14,28,15,0,0,0
13673,ENSG00000129521.13,EGLN3,4.996047313,1.632238784,11.93537366,6.0246E-08,8.32319E-06,7.898911839,192,178,198,182,189,193,144,124,166,7,3,4
17086,ENSG00000134775.15,FHOD3,4.920170682,2.589425158,17.81245189,6.73478E-10,6.64595E-07,11.62257733,283,307,291,323,321,351,370,406,339,8,13,8
19092,ENSG00000198768.10,APCDD1L,4.840266289,1.289192153,5.125803835,0.000263579,0.002359461,0.74999473,79,61,92,185,156,165,167,189,181,8,3,2
9884,ENSG00000136944.17,LMX1B,4.810782096,-1.273303405,10.00622429,4.06037E-07,2.97325E-05,5.25825381,21,25,25,19,14,24,29,27,17,0,0,1
12305,ENSG00000133687.15,TMTC1,4.797015753,1.662800115,10.37455166,2.75867E-07,2.33338E-05,6.80976072,159,148,142,149,170,135,212,222,219,8,4,4
16480,ENSG00000159217.9,IGF2BP1,4.781463873,1.946982521,7.458238616,8.37993E-06,0.000223576,3.958273679,301,310,275,160,174,168,194,163,180,6,6,7
12060,ENSG00000118971.7,CCND2,4.754515815,-1.844767321,7.087366922,1.38195E-05,0.00030531,2.786895394,20,20,21,8,13,7,21,18,11,0,0,0
13141,ENSG00000165474.5,GJB2,4.74300319,1.072399455,3.173320021,0.008164027,0.029505254,-2.46692873,47,43,44,128,152,148,211,232,211,3,3,4
11304,ENSG00000149131.15,SERPING1,4.70796124,-1.35236313,3.165591931,0.008281145,0.029814135,-2.34420819,5,10,5,35,24,32,37,46,45,0,0,1
4482,ENSG00000182580.2,EPHB3,4.686204111,0.55843651,5.753327415,9.6875E-05,0.001192835,1.641806628,43,60,54,71,63,90,123,127,111,5,1,2
9814,ENSG00000181634.7,TNFSF15,4.646491501,-1.921247518,4.654687683,0.000579354,0.004187638,-0.093908439,26,23,23,6,11,4,15,10,23,0,0,0
11809,ENSG00000152402.10,GUCY1A2,4.641211444,-0.385882004,4.027227948,0.001729712,0.009212237,-0.972723486,32,11,23,62,78,69,38,45,50,2,2,0
10405,ENSG00000122877.15,EGR2,4.634978744,2.533734876,2.30552979,0.040113021,0.099588131,-4.169873827,121,59,101,395,456,469,632,759,714,12,11,9
5542,ENSG00000164318.17,EGFLAM,4.630532752,-0.478919337,3.262991195,0.006921286,0.026045001,-2.217195434,12,12,22,38,44,44,95,89,63,3,0,1
10464,ENSG00000107731.12,UNC5B,4.56207374,-0.281792071,6.094069892,5.75746E-05,0.000840817,2.015846973,27,27,28,43,46,48,72,48,60,3,2,0
9352,ENSG00000107295.9,SH3GL2,4.560755719,-0.156298911,5.934674124,7.3294E-05,0.00098692,1.82591506,80,68,80,33,32,41,44,30,36,1,1,2
17774,ENSG00000105664.10,COMP,4.535899437,-1.48498172,2.221372704,0.046657092,0.111532463,-3.833793203,3,3,4,32,17,26,69,65,62,0,0,1
10418,ENSG00000198739.10,LRRTM3,4.532324959,-1.23863396,3.74132822,0.002889512,0.013498505,-1.428368796,21,6,6,29,30,34,39,33,29,0,0,2
14870,ENSG00000196557.12,CACNA1H,4.502517455,-1.50858619,4.865116967,0.000406014,0.003224926,0.237257648,7,8,11,17,23,37,25,27,24,0,1,0
4695,ENSG00000170801.9,HTRA3,4.492417682,-0.45860622,4.387041764,0.000918325,0.005850121,-0.406326961,13,19,22,46,43,45,68,56,63,1,1,1
14581,ENSG00000067141.16,NEO1,4.465868483,3.067082859,13.68265565,1.32731E-08,3.35438E-06,9.950916448,422,492,441,310,407,367,529,443,459,18,17,16
20040,ENSG00000147041.11,SYTL5,4.434172773,0.773640117,3.044897153,0.010346005,0.035391262,-2.680606941,46,20,40,129,126,119,169,142,145,3,5,2
19981,ENSG00000131831.17,RAI2,4.42573576,-2.092145468,11.16284478,1.25105E-07,1.37617E-05,5.645793897,14,7,14,9,11,16,10,14,10,0,0,0
8536,ENSG00000129422.14,MTUS1,4.413625282,2.830180497,5.984509169,6.79401E-05,0.000933071,1.991137686,250,194,230,398,394,402,521,513,507,19,13,13
4749,ENSG00000153012.11,LGI2,4.401875528,-2.103996351,4.717485059,0.00052071,0.003877349,-0.009554878,22,33,21,6,5,7,9,9,10,0,0,0
9888,ENSG00000136859.9,ANGPTL2,4.377063959,-1.355393869,4.642048163,0.000591971,0.00424625,-0.060790019,10,8,12,40,35,33,21,19,18,0,0,2
9475,ENSG00000122694.15,GLIPR2,4.368858888,-1.603412186,9.487031058,7.14214E-07,4.20865E-05,4.893051974,13,17,16,16,10,14,19,21,21,0,0,1
16467,ENSG00000260027.4,HOXB7,4.362513963,-0.189784934,6.310647985,4.17082E-05,0.000670014,2.319759134,73,48,44,44,42,36,31,42,40,0,1,9
8987,ENSG00000104413.15,ESRP1,4.358838651,-0.066959081,6.639544785,2.58748E-05,0.000476202,2.743590429,39,23,31,64,61,64,57,52,55,2,2,1
18678,ENSG00000088881.20,EBF4,4.279752951,-1.143011305,9.27612418,9.0468E-07,4.83188E-05,4.983438169,17,18,16,19,21,31,27,24,28,0,1,1
19093,ENSG00000231290.5,APCDD1L-AS1,4.275673635,0.900418856,7.750649671,5.71541E-06,0.000170645,4.200103185,92,49,70,110,93,94,113,113,113,3,6,3
3799,ENSG00000188338.14,SLC38A3,4.26821045,0.271402816,4.283546173,0.00110004,0.00666164,-0.570522008,24,34,30,64,86,87,98,94,76,3,2,2
4756,ENSG00000091490.10,SEL1L3,4.249110032,3.119732908,3.809005703,0.002557175,0.012326667,-1.678947581,207,212,233,382,417,429,890,874,826,27,16,18
12767,ENSG00000011465.16,DCN,4.224023067,-0.171408651,2.39974054,0.033830431,0.087295233,-3.685745734,21,6,14,97,110,115,53,65,59,1,2,2
13952,ENSG00000119681.11,LTBP2,4.220653851,4.073107806,3.89621292,0.002186047,0.011027619,-1.713749858,397,345,366,888,882,915,1730,1718,1552,50,26,47
17047,ENSG00000154080.13,CHST9,4.218479157,-1.719569216,4.655156397,0.000578892,0.004187216,-0.06205421,14,8,4,19,21,11,21,28,20,0,1,0
4139,ENSG00000160145.15,KALRN,4.217968257,1.345637404,15.54103672,3.17362E-09,1.46149E-06,10.03927796,132,93,129,117,121,128,139,118,139,7,4,6
11351,ENSG00000011347.9,SYT7,4.199555832,0.966429529,8.950591221,1.31394E-06,6.08928E-05,5.464367244,63,116,71,81,91,112,111,112,111,3,4,6
20,ENSG00000187634.11,SAMD11,4.196594683,2.132535855,2.50393727,0.027987877,0.075372681,-3.817559565,72,49,98,326,274,359,405,481,395,14,12,6
17122,ENSG00000101670.11,LIPG,4.184736307,2.53583068,3.338561679,0.006023549,0.023485606,-2.422358238,183,177,155,188,180,216,690,639,654,16,14,11
18838,ENSG00000179772.7,FOXS1,4.18417086,-1.221038292,3.638170549,0.003483712,0.015599171,-1.592969811,11,5,9,40,40,37,29,26,24,1,1,0
6843,ENSG00000112559.13,MDFI,4.167397412,-1.751785117,7.082164923,1.39185E-05,0.000306843,2.880396394,21,20,18,13,8,9,12,12,18,0,0,1
16514,ENSG00000006283.17,CACNA1G,4.157033952,-0.708500323,3.728718328,0.002956184,0.013741642,-1.454281115,17,10,12,38,33,42,50,47,55,1,0,4
15645,ENSG00000103241.6,FOXF1,4.151002934,-2.292915135,3.683357615,0.003209356,0.014629893,-1.528872964,17,18,22,6,1,10,10,11,9,0,0,0
16297,ENSG00000128422.15,KRT17,4.099693141,-0.759690712,1.773502001,0.101900201,0.199855941,-4.585773973,7,1,9,71,48,74,60,83,78,1,1,1
4692,ENSG00000163995.19,ABLIM2,4.071543652,-1.585129398,7.366409829,9.46996E-06,0.000241385,3.230267804,18,10,18,10,17,17,13,25,15,2,0,0
20605,ENSG00000268089.2,GABRQ,4.057968855,3.610041421,18.16121859,5.39622E-10,6.32742E-07,12.98674138,511,577,462,545,669,539,639,659,635,32,31,30
12029,ENSG00000139044.10,B4GALNT3,4.040769699,-0.830268912,6.05975214,6.0628E-05,0.000867043,1.94265293,23,27,21,23,15,20,46,39,34,0,2,2
9094,ENSG00000164761.8,TNFRSF11B,4.03831181,-1.078411233,6.897831233,1.79641E-05,0.000369315,2.883873463,23,27,41,14,20,26,21,17,17,0,2,1
6912,ENSG00000112796.9,ENPP5,4.035110283,-0.273829777,4.49306387,0.000764313,0.005117561,-0.234396956,28,14,21,41,50,51,57,65,57,1,4,1
18481,ENSG00000167617.2,CDC42EP5,4.032559499,-2.386522243,6.360788595,3.87439E-05,0.000636204,2.012138287,11,4,4,16,7,13,9,12,8,0,0,0
17253,ENSG00000129946.10,SHC2,4.029594369,-2.392490814,5.716007724,0.000102657,0.001237562,1.274829178,5,3,7,6,11,11,18,15,10,0,0,0
5357,ENSG00000164303.10,ENPP6,4.022348009,-1.869954864,3.839108675,0.002422238,0.01184707,-1.279811442,12,2,6,19,21,22,18,17,15,0,1,0
