,ensembl_gene_id,gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,CAL51_MAK683_5_1,CAL51_MAK683_5_2,CAL51_MAK683_5_3,CAL51_CP1205_5_1,CAL51_CP1205_5_2,CAL51_CP1205_5_3,CAL51_TAZMETOSTAT_5_1,CAL51_TAZMETOSTAT_5_2,CAL51_TAZMETOSTAT_5_3,CAL51_UNT_0_1,CAL51_UNT_0_2,CAL51_UNT_0_3
4102,ENSG00000163430.11,FSTL1,1.936724591,9.530426216,44.75675572,6.34164E-15,1.31418E-10,24.25233229,23264,23305,21100,22177,22405,20802,24445,22491,23371,6069,5288,5767
898,ENSG00000142871.16,CYR61,1.755055371,8.206771671,30.97225858,5.49446E-13,5.34623E-09,20.27727139,8750,8474,8253,8248,8878,8630,9820,8497,9194,2650,2459,2404
12203,ENSG00000134531.9,EMP1,1.125612226,9.484762986,30.1057518,7.73956E-13,5.34623E-09,19.96460102,19286,19568,18382,19129,18596,18767,19435,18647,19215,8983,7861,8446
6529,ENSG00000078401.6,EDN1,2.16085596,5.992742067,29.00335709,1.21386E-12,6.2887E-09,19.4511581,2055,2122,2036,1966,2018,2183,2017,1856,1948,511,390,416
8725,ENSG00000104368.17,PLAT,2.383132814,2.404054245,27.14320151,2.69756E-12,1.11803E-08,17.22960912,161,178,175,181,182,165,178,174,173,29,31,36
10603,ENSG00000148677.6,ANKRD1,2.776519818,5.732910708,25.91961617,4.69784E-12,1.55266E-08,18.12328619,1915,1932,1775,1634,1857,1823,2191,2000,1828,307,202,296
1496,ENSG00000143248.12,RGS5,3.16201711,5.557150722,25.683175,5.2447E-12,1.55266E-08,17.96072839,1573,1619,1507,1805,1826,1752,2182,2006,1820,210,170,196
9636,ENSG00000213694.3,S1PR3,2.850864772,4.131868754,25.32396985,6.21145E-12,1.609E-08,17.49923547,633,647,649,616,556,561,725,593,678,98,75,79
5599,ENSG00000213949.8,ITGA1,3.317781503,4.580247345,23.86476885,1.26582E-11,2.8591E-08,16.9244817,823,859,805,975,1024,817,1108,970,1018,102,75,93
20427,ENSG00000101938.14,CHRDL1,2.47671372,5.078428573,23.69382887,1.37967E-11,2.8591E-08,17.06608376,1149,1184,1132,1180,1160,840,1232,1187,1175,218,196,177
8256,ENSG00000128510.10,CPA4,2.420706785,5.286878431,22.90431579,2.06994E-11,3.89959E-08,16.70560257,1444,1336,1362,1257,1400,1376,1296,1065,1172,266,202,236
6522,ENSG00000197977.3,ELOVL2,2.435978183,3.886220934,22.5776112,2.45794E-11,4.16824E-08,16.31889519,492,489,460,556,549,499,461,476,456,92,70,103
1668,ENSG00000081237.18,PTPRC,-2.274519157,2.624399232,-22.46104451,2.61483E-11,4.16824E-08,16.45105374,107,88,90,112,98,72,81,83,88,479,342,464
9835,ENSG00000148180.19,GSN,1.388351559,5.127599552,22.13911253,3.10711E-11,4.59919E-08,16.34072996,967,958,942,991,956,1051,1019,922,928,353,352,369
2683,ENSG00000198914.3,POU3F3,-0.896801985,6.01712959,-21.87551307,3.58488E-11,4.61246E-08,16.20981585,1241,1186,1249,1232,1208,1197,1161,1178,1234,2290,2075,2171
12528,ENSG00000161638.10,ITGA5,3.002649297,5.231861513,21.76196391,3.81463E-11,4.61246E-08,16.08251882,1434,1260,1288,1274,1294,1187,1645,1434,1674,187,175,140
20637,ENSG00000067840.12,PDZD4,1.592278389,4.368758201,21.74495701,3.85039E-11,4.61246E-08,16.08506494,614,605,598,580,691,555,615,530,567,207,182,182
11241,ENSG00000175274.18,TP53I11,2.178935272,3.936091342,21.67271429,4.00638E-11,4.61246E-08,15.9323074,479,469,474,466,451,462,489,524,579,112,96,103
7213,ENSG00000135547.8,HEY2,3.662683135,3.068126595,21.35401141,4.78078E-11,5.21432E-08,14.98307269,320,304,307,350,367,377,388,336,362,23,28,27
9703,ENSG00000136943.10,CTSV,1.323575488,6.971508401,21.02560694,5.75082E-11,5.95871E-08,15.7361183,3404,3275,3244,3310,3386,3607,3680,3475,3643,1335,1193,1476
2556,ENSG00000115525.17,ST3GAL5,1.099289274,4.759553863,20.73599512,6.78388E-11,6.69439E-08,15.5707949,774,714,682,741,735,690,755,650,698,332,311,324
18932,ENSG00000198959.11,TGM2,2.231797055,3.486157175,20.55910364,7.51225E-11,6.87468E-08,15.25219514,424,357,376,357,340,310,404,330,350,77,72,72
