SAMPLE,CELL,TREAT,NLRC5,HLA-A,HLA-B,HLA-C,HLA-F,COLOR
b-BT549_4_MAK683,BT549,4-MAK683,7.582384189,9.577149131,8.891871104,8.891871104,3.937567526,#FDE725FF
b-BT549_4_MAK683,BT549,4-MAK683,7.670466162,9.246367114,8.906878898,8.906878898,3.960430565,#FDE725FF
b-BT549_4_MAK683,BT549,4-MAK683,7.436560889,9.286738804,8.613298006,8.613298006,3.765461503,#FDE725FF
b-BT549_3_CP1205,BT549,3-CP1205,7.884148963,9.872705889,9.664550261,9.664550261,3.964767399,#35B779FF
b-BT549_3_CP1205,BT549,3-CP1205,7.833197246,9.620390767,9.559550972,9.559550972,4.113991407,#35B779FF
b-BT549_3_CP1205,BT549,3-CP1205,7.739241096,9.788883318,9.671449697,9.671449697,3.312685381,#35B779FF
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,7.286051803,11.00847463,10.97733961,10.97733961,5.090815633,#31688EFF
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,8.120539584,10.23007353,10.35143114,10.35143114,4.514605102,#31688EFF
b-BT549_2_TAZMETOSTAT,BT549,2-TAZMETOSTAT,7.963715765,10.04082385,10.33787625,10.33787625,4.605310688,#31688EFF
b-BT549_1_UNT,BT549,1-UNT,6.801030572,8.56950845,7.094964192,7.094964192,3.312685381,#440154FF
b-BT549_1_UNT,BT549,1-UNT,7.036074463,8.840873675,7.149503731,7.149503731,3.312685381,#440154FF
b-BT549_1_UNT,BT549,1-UNT,7.041422458,8.768770736,7.179069945,7.179069945,3.312685381,#440154FF
a-CAL120_4_MAK683,CAL120,4-MAK683,8.136933686,11.13581402,8.359804179,8.359804179,4.640874669,#FDE725FF
a-CAL120_4_MAK683,CAL120,4-MAK683,7.899902868,11.14577059,8.100891499,8.100891499,4.361303548,#FDE725FF
a-CAL120_4_MAK683,CAL120,4-MAK683,8.273741054,11.24199856,8.364280208,8.364280208,4.838502472,#FDE725FF
a-CAL120_3_CPI1205,CAL120,3-CP1205,8.755928116,11.58037808,8.909544916,8.909544916,5.208750116,#35B779FF
a-CAL120_3_CPI1205,CAL120,3-CP1205,8.894063674,11.49194194,8.796230809,8.796230809,5.588176112,#35B779FF
a-CAL120_3_CPI1205,CAL120,3-CP1205,8.76201386,11.57469483,9.035066444,9.035066444,5.24239895,#35B779FF
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,8.837989079,11.89136592,9.473445981,9.473445981,5.613167468,#31688EFF
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,8.806199072,11.89919812,9.497322831,9.497322831,5.763138998,#31688EFF
a-CAL120_2_TAZMETOSTAT,CAL120,2-TAZMETOSTAT,8.693477316,11.95120408,9.582729621,9.582729621,5.410975628,#31688EFF
a-CAL120_1_UNT,CAL120,1-UNT,7.111139727,10.81409492,5.973605426,5.973605426,4.19937335,#440154FF
a-CAL120_1_UNT,CAL120,1-UNT,7.274188413,10.83470202,5.796779462,5.796779462,4.296952439,#440154FF
a-CAL120_1_UNT,CAL120,1-UNT,7.136402137,10.70480297,5.850605359,5.850605359,4.197698031,#440154FF
c-CAL51_4_MAK683,CAL51,4-MAK683,6.368463501,10.03287597,7.869467496,7.869467496,3.312685381,#FDE725FF
c-CAL51_4_MAK683,CAL51,4-MAK683,6.160174752,9.906868885,7.645488476,7.645488476,3.312685381,#FDE725FF
c-CAL51_4_MAK683,CAL51,4-MAK683,6.022511315,9.876809032,7.645003159,7.645003159,3.312685381,#FDE725FF
c-CAL51_3_CP1205,CAL51,3-CP1205,5.949926167,9.877692474,7.12284386,7.12284386,3.312685381,#35B779FF
c-CAL51_3_CP1205,CAL51,3-CP1205,5.881119195,10.01867752,7.162893348,7.162893348,3.312685381,#35B779FF
c-CAL51_3_CP1205,CAL51,3-CP1205,5.379467974,10.44920559,7.468791776,7.468791776,3.312685381,#35B779FF
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,6.281887847,10.02160371,7.499611511,7.499611511,3.312685381,#31688EFF
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,6.333649843,9.99789093,7.371277963,7.371277963,3.312685381,#31688EFF
c-CAL51_2_TAZMETOSTAT,CAL51,2-TAZMETOSTAT,6.356556689,10.05245343,7.479519827,7.479519827,3.312685381,#31688EFF
c-CAL51_1_UNT,CAL51,1-UNT,5.38739389,9.37478935,4.598309858,4.598309858,3.312685381,#440154FF
c-CAL51_1_UNT,CAL51,1-UNT,5.647208133,9.514837101,4.334454946,4.334454946,3.312685381,#440154FF
c-CAL51_1_UNT,CAL51,1-UNT,5.264499148,9.552331327,4.468410725,4.468410725,3.312685381,#440154FF
