CAL51,CAL120,BT549
FAM41C,NA,CTD-2126E3.1
NOC2L,OSMR,INPP5B
TTLL10,CNGA3,IFNL1
SCNN1D,BATF,AC011893.3
AURKAIP1,PIGT,SNX29
NA,LILRA2,CAPZB
MRPL20,LGALS12,TAPT1
ATAD3B,RNF43,NDUFS5
ATAD3A,ITPR1,RAB21
CDK11A,STRA6,ZNF292
CDK11B,TACC1,PRSS27
SLC35E2B,ZBTB7C,C1orf53
SLC35E2,FSTL4,PLEKHB2
NADK,CACNA1C,SMYD4
CALML6,LRG_334,RTN4
PRKCZ,ZBTB38,TYMS
MMEL1,TNXB,MFSD7
TTC34,SH2D7,TSPAN4
ACTRT2,FAM170B-AS1,AGFG1
TP73-AS1,KRTAP6-3,GPC1
LRRC47,NDRG1,CBX2
MIR4689,LRG_258,SPA17
KCNAB2,AMPD3,GPR142
CHD5,UBR4,AACS
RNF207,LINC01114,MDP1
HES3,RPL29P2,HLCS
ACOT7,IL16,PHF3
ESPN,MIR3194,EXO5
MIR4252,CTC-349C3.2,CUL2
PLEKHG5,CST11,IFNAR1
LRG_262,PANX3,ZNF845
TAS1R1,LIG1,KIAA2018
ZBTB48,LRG_78,AMER1
KLHL21,KCNMB1,SCN4A
CAMTA1,NAT8,SUZ12
UTS2,AHSG,STIL
TNFRSF9,FHOD3,CAP2
ERRFI1,MCM5,YAP1
SLC45A1,ORM1,BBS2
SPSB1,PKD2L1,HKDC1
TMEM201,FYCO1,TUFM
PIK3CD,EPB41L1,DRC1
LRG_191,AC073133.1,STAG1
CLSTN1,SORBS1,RNF169
CTNNBIP1,MIR601,SETD5
APITD1,CALCOCO1,ACOX1
APITD1-CORT,ANXA6,SUPT20H
PEX14,XAF1,RNF146
MTOR,BPIFA3,KIAA1432
MTHFR,IL1F10,IGF2BP2
NPPA-AS1,GABRP,WDR33
NPPA,CTDSP2,SFT2D3
KIAA2013,ABCC12,UIMC1
TNFRSF8,TNNI1,RPAP1
TNFRSF1B,GBP6,ACSF3
SNORA59A,ERC1,C18orf25
SNORA59B,DCTN1,SH3KBP1
DHRS3,ACOXL,MCM7
KAZN,LRRC18,APP
TMEM51,PLA2G12B,TBC1D22A
FHAD1,CRISPLD2,YEATS2
CTRC,KALRN,LURAP1L
DDI2,TIAM2,VPS52
RSC1A1,WEE2-AS1,PEX11B
TMEM82,TGM6,USP6NL
FBLIM1,COL4A6,SCP2
C1orf64,SPECC1,TRMT1L
HSPB7,TSPAN18,MIR517B
CLCNKA,LGALS9B,TUBA3D
FBXO42,LGALS9C,TUBA3C
NBPF1,SFXN5,MREG
CROCCP2,ZNF496,CASP7
ESPNP,FAM107B,BAZ2A
CROCC,OC90,CCT2
ATP13A2,LINC00299,ZNF879
SDHB,C1S,MRPL39
LRG_316,LRG_25,C1orf227
PADI2,LMOD1,SRF
PADI1,NMT1,ABCB9
PADI3,DHRS9,PPRC1
PADI4,GFI1B,SYDE1
ARHGEF10L,PRDM11,KANK2
IGSF21,ACSL1,CD63
PAX7,RP11-290F5.2,NA
NBL1,KIR3DL3,PPIF
MINOS1-NBL1,C7orf33,CTPS2
PLA2G2E,MED13,EXD2
PLA2G2D,LOXHD1,NTHL1
PLA2G2F,BTNL9,FSCN3
LINC01141,XPNPEP2,KHDC1
CDA,RARA,SETD2
PINK1,ZFP69B,SMEK1
KIF17,LDLRAD1,KRTAP5-8
EIF4G3,MAGEA1,KITLG
ECE1,S100A8,SLC30A1
ALPL,MIR539,FAM210A
RAP1GAP,NUPL2,ZFPM1
HSPG2,IFT122,DDX3X
EPHA8,DPY19L3,S100A1
C1QA,MT1B,LRP5L
LRG_22,ANKRD36,HMBS
C1QC,CAPN9,IVNS1ABP
LRG_24,TAC3,RANBP1
EPHB2,AP3B2,WDR45
LUZP1,DHRS7C,HACE1
HTR1D,MYO5B,TRMT44
