gene,cell_line
HLA-B,CAL120
HLA-C,CAL120
HLA-DMB,CAL120
HLA-DPA1,CAL120
HLA-DPB1,CAL120
HLA-DRA,CAL120
HLA-DRB1,CAL120
HLA-F,CAL120
HLA-H,CAL120
CCL2,CAL120
PSMB9,CAL120
CIITA,CAL120
TNFSF10,CAL120
LAMP3,CAL120
IFITM1,CAL120
IL1B,CAL120
CCL7,BT549
TNFRSF9,BT549
LYN,BT549
VCAM1,BT549
IL7,BT549
IRF4,BT549
METTL7B,BT549
OAS2,BT549
HLA-B,BT549
HLA-DMA,BT549
HLA-DPA1,BT549
HLA-DQB1,BT549
HLA-F,BT549
HLA-H,BT549
CXCR4,BT549
IRF6,BT549
CXCL10,BT549
CXCL12,BT549
CXCL13,BT549
CXCL14,BT549
CXCL16,BT549
TNFRSF9,CAL51
CCL2,CAL51
TLR2,CAL51
TNFSF10,CAL51
IL2RB,CAL51
LAMP3,CAL51
TNFSF15,CAL51
EBI3,CAL51
HLA-B,CAL51
HLA-DPA1,CAL51
HLA-DQB1,CAL51
HLA-DRA,CAL51
HLA-DRB1,CAL51
HLA-DRB5,CAL51
PSMB9,CAL51
CXCL1,CAL51
CXCL10,CAL51
CXCL14,CAL51
CXCL16,CAL51
CXCL6,CAL51
CCL2,CAL51
CCL20,CAL51
TNFSF10,CAL51
TNFSF15,CAL51
CXCR4,CAL51
FAS,CAL51
