Cell_line,GDS,GRAY,CCLE,VANDERBILT,GSE10890,CONSENSUS
HCC1187,UNC,NA,BL1,BL1,NA,BL1
HCC3153,NA,BL1,NA,NA,NA,BL1
HMC18,NA,NA,BL1,NA,NA,BL1
MX1,NA,BL1,NA,NA,NA,BL1
HCC1143,BL2,BL1,BL1,BL1,BL1,BL1
HCC1937,BL2,BL1,BL1,BL2,BL1,BL1
COLO-824,BL1,NA,NA,NA,NA,BL1
HCC1599,BL1,BL1,BL1,BL1,NA,BL1
HCC2157,BL1,NA,BL1,NA,NA,BL1
SUM149PT,NA,BL2,NA,UNC,NA,BL2
SUM159PT,NA,BL2,BL2,BL2,NA,BL2
SUM229PE,NA,BL2,NA,NA,NA,BL2
X184A1,NA,BL2,NA,NA,NA,BL2
X184B5,NA,BL2,NA,NA,NA,BL2
CAL-85-1,BL2,NA,M,BL2,BL2,BL2
HCC1806,BL2,BL2,BL2,BL2,BL2,BL2
HCC70,BL2,BL1,BL2,BL2,UNC,BL2
HDQ-P1,BL2,NA,BL2,BL2,BL2,BL2
MDA-MB-231,BL2,UNC,BL2,NA,BL2,BL2
MDA-MB-436,BL2,NA,BL2,NA,UNC,BL2
MDA-MB-468,BL2,BL2,BL2,BL1,BL1,BL2
MDA-MB-157,BL1,BL2,M,BL2,NA,BL2
HCC2185,NA,LAR,NA,NA,NA,LAR
SUM185,NA,LAR,NA,LAR,NA,LAR
SUM52PE,NA,LAR,NA,NA,NA,LAR
CAL-148,LAR,NA,LAR,LAR,LAR,LAR
MDA-MB-453,LAR,NA,LAR,LAR,LAR,LAR
MFM-223,LAR,NA,NA,LAR,LAR,LAR
MRK-nu-1,LAR,NA,NA,NA,NA,LAR
SUM1315,NA,M,NA,NA,NA,M
CAL-120,M,NA,BL2,M,M,M
CAL-51,M,NA,M,M,M,M
HCC1395,M,UNC,BL1,UNC,M,M
HCC38,M,M,BL2,UNC,M,M
Hs-578-T,M,M,BL2,M,M,M
BT-549,BL2,M,NA,M,M,M
DU-4475,UNC,NA,UNC,BL1,BL1,UNC
BT-20,LAR,NA,UNC,BL2,NA,UNC
