,INST,subtype,IM,MSL,BL1,M,BL2,LAR,RNAi_AVAILABLE,sgRNA_AVAILABLE
BT20_BREAST,BROAD,BL2,0.016725083,-0.071046145,-0.018784317,-0.043697508,0.09787817,0.064496494,YES,NO
BT549_BREAST,GRAY,M,-0.110306001,0.106215126,-0.060535343,0.219585773,0.032626142,-0.11368545,YES,YES
CAL120_BREAST,BROAD,BL2,-0.099369331,0.032842906,-0.101546014,0.061504868,0.231966872,0.048177983,YES,NO
CAL148_BREAST,BROAD,LAR,-0.017161452,-0.021363721,-0.012517159,-0.028177392,-0.078585722,0.153816017,YES,NO
CAL51_BREAST,BROAD,M,-0.02403848,0.043808912,0.00464321,0.03424276,0.028173768,0.029465798,YES,YES
CAL851_BREAST,BROAD,M,-0.018025422,-0.071523572,-0.0648573,0.038387865,0.00153705,-0.023112626,YES,NO
DU4475_BREAST,BROAD,LAR,0.059088148,-0.02450426,-0.033491622,-0.029969738,0.059725754,0.081544457,YES,YES
HCC1143_BREAST,BROAD,BL1,-0.018425121,-0.090714224,0.088344199,-0.002472897,0.011349157,-0.101413243,YES,YES
HCC1187_BREAST,BROAD,BL1,0.006744436,-0.029174445,0.052094495,0.027086556,-0.173431232,-0.054779606,YES,NO
HCC1395_BREAST,BROAD,BL1,-0.00846397,0.03373882,0.067549513,0.018791033,-0.002515233,-0.075402284,YES,YES
HCC1599_BREAST,BROAD,BL1,-0.068948463,-0.110318852,0.184161875,0.148376798,-0.21878642,-0.141330715,YES,NO
HCC1806_BREAST,BROAD,BL2,0.067858752,0.066723884,-0.125515433,-0.060977038,0.036682502,0.030123985,YES,YES
HCC1937_BREAST,BROAD,BL1,0.051443545,-0.026173282,0.041678358,-0.098396581,0.02626743,0.055037695,YES,YES
HCC2157_BREAST,BROAD,BL1,-0.039163873,-0.073588944,0.239456142,0.04954273,-0.247110272,-0.059675598,NO,NO
HCC3153_BREAST,GRAY,BL1,-0.073873435,-0.230029898,0.321709428,0.086275983,-0.164121673,-0.12193847,YES,NO
HCC38_BREAST,BROAD,M,-0.083928155,-0.098278108,0.099547822,0.154354195,-0.028581234,-0.13869647,YES,NO
HCC70_BREAST,BROAD,BL2,0.016983398,-0.13009294,0.068473673,-0.102299312,0.124905239,0.005791316,YES,NO
HDQP1_BREAST,BROAD,BL2,0.071500924,0.021063535,-0.096047167,-0.042119277,0.024756711,-0.032218655,YES,NO
HMC18_BREAST,BROAD,BL1,0.035236759,0.009871681,0.081553718,0.002528859,-0.062350917,-0.013924095,YES,YES
HS578T_BREAST,BROAD,BL2,-0.143164667,0.108754517,-0.105360823,0.129866269,0.200164744,-0.0301299,YES,YES
MB157_BREAST,GRAY,BL2,0.002903021,-0.084300397,-0.066635146,-0.061690328,0.26633882,-0.043441795,NO,NO
MCF10A_BREAST,GRAY,BL2,-0.065882388,-0.013319258,-0.097954131,-0.036541355,0.259623203,0.032379406,YES,NO
MCF10F_BREAST,GRAY,BL2,-0.00717455,0.066655193,-0.336464911,-0.085143092,0.474252131,0.160627402,NO,NO
MCF12A_BREAST,GRAY,BL2,-0.239303163,-0.097897324,-0.059366227,0.13710007,0.391657971,0.051017283,YES,NO
MDAMB157_BREAST,BROAD,BL2,-0.00893829,0.092635874,-0.131113563,0.037466045,0.019605124,-0.02951208,YES,YES
MDAMB231_BREAST,BROAD,BL2,0.037063495,0.039826754,-0.103605164,-0.060022087,0.158228618,0.029707578,YES,YES
MDAMB436_BREAST,BROAD,BL2,0.05365473,0.074490262,0.026311763,-0.068666016,0.113419821,-0.005929453,YES,YES
MDAMB453_BREAST,BROAD,LAR,-0.023846969,-0.09185204,-0.029279509,-0.065590074,-0.083369996,0.212495951,YES,YES
MDAMB468_BREAST,BROAD,UNS,0.025121222,-0.053358342,-0.030511626,-0.06299377,0.01707146,0.039564509,YES,YES
MX1_BREAST,GRAY,BL1,-0.002902609,-0.240462792,0.513867524,0.111710139,-0.510495647,-0.245862163,YES,NO
SUM1315_BREAST,GRAY,M,-0.077868822,0.203134846,-0.032180645,0.151827106,-0.186157031,0.043546888,NO,NO
SUM149PT_BREAST,GRAY,BL2,0.018278145,-0.141845073,-0.050363235,0.053189484,0.119800851,-0.008437206,YES,NO
SUM159PT_BREAST,BROAD,BL2,0.010233176,0.109006172,-0.133023376,-0.067005294,0.106481701,0.029299287,YES,NO
SUM185PE_BREAST,BROAD,LAR,-0.175167781,-0.001753851,-0.15769889,0.043635577,-0.138986151,0.41931624,YES,NO
SUM229PE_BREAST,GRAY,BL2,-0.000346529,-0.139646282,-0.065654568,-0.071433972,0.228883796,0.081588992,YES,NO
SUM52PE_BREAST,GRAY,LAR,0.011891874,-0.134190641,-0.060758494,-0.128195901,-0.125562753,0.47367297,YES,NO
X184A1_BREAST,GRAY,BL2,-0.055395162,0.082657927,-0.230329854,-0.031606463,0.327048395,0.209581877,NO,NO
X184B5_BREAST,GRAY,BL2,-0.113195209,0.069756993,-0.162180114,-0.006913552,0.329241406,0.223616684,NO,NO
