Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
C10orf53,-4.754301547,2.754459733,-1.769207615,3.25156181
THOC1,-4.689429961,3.183300557,-2.372216025,1.735381443
MSANTD4,-4.679744265,3.535672457,-1.854779767,2.626940351
TMEM117,-4.593080829,2.126578975,0.269375364,1.521871306
RDM1,-4.57063755,2.957389366,-0.494040635,2.584073811
AP2S1,-4.569840353,3.552022333,-1.69391409,2.874467079
CETN2,4.505740388,-3.53284282,1.650316318,-1.973670344
BRCA2,-4.505231934,3.603738632,-2.426963851,2.188596501
DVL2,-4.489311468,5.481768514,-0.363998184,2.246531605
LILRB4,-4.508444841,3.229616418,-1.707467278,3.964139199
AFP,-4.446174922,5.36212159,-1.837245736,2.200247549
TRIM5,4.44382429,-3.536086694,1.305392466,-2.495796858
SPIB,-4.434499581,4.049260457,-1.393976198,2.388041268
DGUOK,-4.330369858,4.508308634,-1.508198866,2.649893385
C1QTNF6,-4.293691257,2.207661424,-2.241622109,3.815880455
CA14,-4.994083229,1.442147113,-1.267763004,2.082850839
CD99,-4.203600125,3.286403734,0.780063926,1.322694904
TEX29,4.20418131,-3.242577905,1.733160499,-2.324573131
RPS15,-4.158182777,3.230012647,-1.895081722,1.861408481
OR2F1,-4.153943924,2.803862823,-1.402832071,2.35489325
NKX6-1,4.089432842,-2.67654176,1.002476164,-1.385179716
C16orf62,4.102105223,-1.604800762,1.952149768,-1.526954016
TXNDC12,-4.078292614,3.17267207,-0.939614843,1.80046028
MKRN1,4.088825841,-1.484302854,1.554672255,-3.514175688
MYO15A,-4.063082449,2.639360678,-0.49161591,1.651106633
RDH5,3.985865968,-4.698715021,0.051882261,-1.276627319
PIP4K2A,-3.95983367,2.982245724,-1.695402753,2.26111982
TMPRSS4,3.957453609,-1.945780514,2.230314483,-3.589481163
RNASEH2A,3.966196744,-2.723888403,1.36223701,-2.084942832
PHLDA2,-4.607951414,0.959492438,0.507311521,0.285837443
KLF8,-3.923973368,1.523475718,-0.912910308,2.823039506
PTPRG,-3.899057497,2.150961924,-1.038134287,1.69900173
WDYHV1,-4.753412976,1.014243111,-0.769989324,0.619840912
TEAD1,3.87050724,-2.635164736,0.049485465,-1.434909959
SKAP1,3.878957434,-1.370565413,0.973010552,-3.719096656
EDC4,-3.853655307,2.473715902,-0.952606692,2.912813795
GRIN2B,-3.843448727,4.177594382,-1.74682792,1.685608679
CCKBR,-3.838867954,3.198638025,-0.949369318,1.037700877
IGFBP3,-3.841532771,2.763664583,-0.229692986,1.539003084
ACBD3,3.821778358,-3.532728788,0.768323485,-3.115973101
KLK6,-3.808929948,2.76030482,0.019765468,1.728131778
RECK,3.795845697,-2.031542059,1.851009289,-4.15611341
CLEC4G,-3.791979619,2.65253248,-0.671005069,1.762221707
TBX22,-3.780821033,2.411845632,-1.41821203,2.611809433
DNAJC19,-3.765644255,2.016594677,-1.106928306,2.263624856
XPNPEP2,3.777754005,-1.670326391,1.567108584,-3.563329212
TMEM225,-3.765402629,2.465572804,-1.465817595,3.717083722
CDH2,3.749696589,-2.730744123,1.638386769,-1.849889822
CDX2,-3.747781587,3.27240665,0.368817472,1.187596641
SOX9,-3.745903492,2.013689407,-1.857758477,2.605795465
RBM17,-3.75458588,2.051483891,-0.523054828,1.166580519
CACNG5,3.751250061,-3.104204436,0.163787179,-1.532045692
DNAAF2,-3.750721936,2.485263036,0.614274636,1.587708352
BNIP1,3.726919457,-3.088914544,1.832425387,-2.096020003
TRA2B,-3.723546964,3.420112604,-0.351417572,2.200193744
SLC39A14,3.716493143,-4.8091962,-0.813298968,-1.36169615
TNFRSF6B,-3.678669426,2.786351842,-0.745604106,2.120703982
PLA2G2A,-3.67801896,2.380441426,-2.261831178,2.494510698
SPAG11B,-3.672688854,2.671957446,-0.215171662,1.951959093
SAMD7,-3.653363907,1.620880965,-0.121626455,1.601034758
SERPINA11,3.64143351,-2.297446083,0.588252989,-1.332560682
SATB1,-3.637149977,1.85728596,-0.168639751,1.426101853
SIGLEC14,3.624656353,-2.575219324,1.384816378,-1.568708853
SRRM1,3.635101898,-2.82713693,1.417606721,-2.741374083
ATP5S,4.135428474,-4.288364647,-1.396180495,-0.216644448
IGBP1,-3.619867995,2.183601474,-1.813835839,1.813055161
FAM46C,4.198937361,-1.509288728,0.060181926,-0.483611087
MAPK8IP1,-3.595867088,2.808101961,-1.776351614,2.044218704
MED13L,3.586825419,-3.227550877,1.127407658,-2.582025993
CSNK1G3,3.585038603,-2.662425715,-0.068456572,-0.575658932
CRYBB1,-3.57196215,3.007055419,-0.41460708,1.526468259
FOXRED2,-3.558995154,2.781078174,0.240012149,1.067136428
ATP5J2-PTCD1,-3.829104678,0.523913177,0.743510672,1.525030167
EMILIN3,-5.212976299,2.206260185,-0.882747278,2.255168887
OXCT1,3.552317933,-1.871932784,1.83211295,-3.189029673
CDH8,-3.548398408,3.151575014,-0.859127994,0.967317192
C3orf38,-3.533260747,2.487068368,-0.201616634,2.179681387
LRFN1,-3.523142931,3.130236545,-1.488442276,1.868471717
AZIN1,-3.532739668,2.58507884,-0.882024646,0.516527816
NPDC1,4.058550203,-1.762140466,-0.18321132,0.036298063
CHRM4,-3.509555331,3.488421399,-0.780594767,2.434585352
LYZL2,-3.517809022,1.414933774,-1.480039627,2.26663997
ERGIC3,-5.121582362,1.371936477,-0.344678608,1.832481083
LBR,3.50217343,-1.96079069,1.976779603,-2.388657631
PLEKHM1P1,3.502936154,-3.001395062,1.128412461,-1.249485012
MEGF9,3.502744945,-2.129118664,1.244744528,-1.935956586
NCOA7,-3.476390087,3.658433529,-2.292770556,1.611837102
GADD45G,-3.486728021,2.691012765,0.118857429,2.756119618
FOXO3,3.472542736,-1.377943468,1.631843313,-1.914743302
