Gene,BL1_tvalue,BL2_tvalue,M_tvalue,LAR_tvalue
BCKDHB_594.,-5.430710015,0.983142368,0.680482315,-0.308272961
ANKRD39_51239.,-4.849998123,0.947311113,1.182468467,0.175606638
GNMT_27232.,-4.660072464,1.54215417,0.563001821,0.188882537
TRIP13_9319.,-4.626995529,1.826350556,0.606355362,0.469907214
HIST1H2BC_8347.,-4.475487268,2.483339033,1.225887895,-0.425272765
HTRA2_27429.,-4.328771467,1.036764793,0.75158729,0.934186956
NCKAP5_344148.,-4.274790056,0.096206294,1.006854361,0.952368635
MT1B_4490.,4.24550838,-0.548021518,-0.036669225,-1.518546664
HIST1H2AC_8334.,-4.220009416,0.999021546,2.22346575,0.120085915
ADAMTS6_11174.,-4.082064802,0.478113808,-0.520411257,1.839166466
URI1_8725.,-4.059838633,0.745189283,0.315889154,-0.228478961
GNAO1_2775.,4.03368734,-0.877177551,-1.320487568,-0.308672372
SSR3_6747.,-4.017701826,1.265146374,0.453585585,0.441937991
ALDOA_226.,3.937190573,-2.661811988,-0.702233366,0.754295826
CRYBA1_1411.,-3.865808675,1.496399191,-1.154784919,2.428782805
NUP37_79023.,-3.797767527,0.808961245,1.00764015,0.983997654
HFE_3077.,-3.782525918,1.66696496,0.87567775,0.907903877
PPP2R3A_5523.,-3.768158603,1.147793821,0.39668257,1.261740782
MFSD6L_162387.,3.708774268,-0.480677437,-1.047488213,-0.608475098
ATP5L_10632.,-3.69484748,0.801273356,0.195749975,0.290158314
OR8H3_390152.,3.668301509,-0.940612131,-0.019366898,-0.528081307
GPD1_2819.,3.661620774,-1.094490875,-2.099722591,0.363410451
AKR7A3_22977.,-3.589709014,0.383471704,0.704757798,-0.014110867
TRIM27_5987.,-3.563267532,2.334191892,1.597392362,0.078551519
SLC37A2_219855.,-3.560714094,2.000084578,0.543920989,-0.417842337
MAP3K6_9064.,-3.557217907,1.525430251,-0.122869289,0.997487653
HIST1H3D_8351.,-3.539678664,0.964972714,1.320768026,-0.415174935
CNN3_1266.,-3.50249854,0.787256498,1.443221071,0.047438659
FAT1_2195.,-3.484833461,2.31105263,1.204124309,-0.09885778
OR52B4_143496.,3.477123318,-2.248689513,-1.333983745,-0.105943758
SPATA6_54558.,-3.475988893,1.735738727,1.767542138,0.025451415
PARP8_79668.,-3.466575096,0.644920338,0.006025773,0.984138637
ARHGEF4_50649.,-3.461038773,0.695071558,0.021831989,1.560914361
FBXL17_64839.,-3.454912578,2.11949835,0.468865259,0.465240596
WARS_7453.,3.438298175,-2.577590094,-0.368187559,-0.160462048
PCDHGB2_56103.,-3.428520778,2.164741944,1.818515691,-0.872702499
LRRC16A_55604.,-3.415842098,0.269862746,1.257891455,0.133119976
MMP9_4318.,-3.388747756,0.894813839,-0.367976008,0.925860768
PSG1_5669.,-3.380470193,1.027008169,0.567419559,0.633244753
TBC1D28_254272.,3.360463896,-1.04551621,-1.62323547,-0.302520165
OST4_100128731.,-3.359806854,0.31063523,-0.138500467,1.534633835
KCNIP3_30818.,-3.339745936,0.777389922,0.63362908,0.83217186
TMEM185B_79134.,-3.337352277,0.786823345,1.449043084,-0.083300899
USP38_84640.,-3.322805065,1.199462732,1.502193999,-1.061992795
HIST1H2BN_8341.,-3.321110496,1.423492543,2.2505629,-1.206860805
MITD1_129531.,-3.317000574,1.237516348,2.306399845,-0.728747734
NACA2_342538.,3.304197488,-1.70438442,-1.520354364,0.60406956
APC2_10297.,-3.298366278,0.768179418,2.653853445,-1.047087477
ATP5D_513.,-3.29356318,1.589712366,1.58206809,-1.393242715
ZNF488_118738.,-3.260937824,1.239555119,-0.507461316,2.074314383
PPP1R21_129285.,-3.240882279,3.224506587,1.763149382,-0.823727307
PFDN6_10471.,-3.22972003,0.530382009,1.683318444,0.364610148
TM9SF1_10548.,-3.22834255,0.383504162,-0.289204796,1.279417492
AIRE_326.,-3.218265358,1.496535099,-0.3136946,0.816536207
HSF4_3299.,3.21358963,-0.315972768,-2.444241886,-0.082372074
CAMKK2_10645.,3.198202611,-2.679332103,-0.449833316,-0.913719494
MPP4_58538.,-3.195388788,1.965070993,1.107948028,-0.79352722
IL36G_56300.,-3.194732654,2.372292658,-0.064902922,1.336958157
KLHDC4_54758.,3.184336336,-1.184630036,-0.858208965,-0.175103864
HIST1H2BD_3017.,-3.181356772,1.593528678,0.905570514,-0.317599572
APOM_55937.,-3.178448878,1.205265269,-0.072044382,1.46498052
ENTPD6_955.,-3.164927148,0.63933101,-0.015323485,2.038480132
HLA.G_3135.,-3.160458667,0.395779378,0.452578051,0.442929776
ZNF326_284695.,-3.158798892,0.743750569,0.532224132,0.105763104
HIST2H2AB_317772.,-3.15087623,0.566553459,0.294407743,0.269583326
PCDHGA9_56107.,-3.147224861,1.503037642,0.909309185,-0.198917202
RNF111_54778.,-3.146836562,0.593889465,1.298376871,0.028253706
HLA.DPA1_3113.,-3.142070321,1.813257406,1.067468254,0.604956667
SNX3_8724.,-3.137224909,2.248623229,1.222051656,0.217314545
ZKSCAN4_387032.,-3.133888183,1.070719129,0.069965414,0.450952951
SRA1_10011.,-3.125385514,1.535018322,1.009531698,-0.204955199
PBX2_5089.,-3.117663617,1.007394481,1.793931261,-0.176943391
ZFHX3_463.,3.116297505,-2.164589386,-0.522187776,0.210297447
SLC9A3R1_9368.,-3.081595751,2.91743629,1.058875639,-0.817527712
PCDHB11_56125.,-3.081574106,3.02242017,-0.299381902,0.257262226
COL9A2_1298.,-3.073518779,1.703302834,-0.113021609,0.472837529
POTEG_404785.,-3.065660719,1.469592654,0.452490568,0.160419574
BMP6_654.,-3.057135711,1.740954557,2.911371588,-0.859454975
MRM1_79922.,-3.054558365,0.726686281,-0.704793353,0.910545381
HIVEP1_3096.,-3.053294928,0.905294344,0.981058534,-0.007318329
