,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
A1BG_1.,0.0533291,0.042262231,0.024132813,0.085245455,0.0629785,-0.009571646,0.08129111,-0.045266031,0.075893273,-0.034023998,0.052181358,-0.000203864,-0.129500213,0.059343144
A1CF_29974.,-0.096882402,-0.046125963,-0.037734621,0.012873809,-0.185488679,0.050471629,0.087088255,0.103886342,0.050323363,-0.020279391,0.034606646,-0.01704638,0.033616802,0.065719252
A2M_2.,-0.001603095,0.02921529,0.021684313,0.03407702,-0.001862596,-0.079974877,-0.052717731,0.029735576,-0.113016874,0.00819952,-0.001820708,0.005817386,-0.017332466,0.04835352
A2ML1_144568.,0.055872267,0.04875931,0.386794926,0.06628918,0.102164488,0.084816061,0.086648287,0.117772771,0.13962883,0.03048227,0.265698062,0.145732833,0.003023278,0.205663099
A3GALT2_127550.,-0.014133441,-0.048166523,0.013871264,-0.179774405,0.001516663,-0.106785589,0.003739262,0.014433825,-0.09847179,-0.004035876,-0.043273709,-0.042332021,-0.038832418,-0.168989013
A4GALT_53947.,0.128808405,-0.021706151,-0.06161327,0.070512659,0.193603252,-0.019837656,-0.023448056,-0.040056147,-0.012310123,-0.049067697,0.138275484,0.0762917,0.017243749,0.019369345
A4GNT_51146.,0.020762417,0.076071691,0.015273197,0.131123829,0.055799061,0.023852058,0.029141036,0.067253461,-0.003833463,0.033135261,0.005634322,-0.126357636,0.079848399,0.060300331
AAAS_8086.,-0.340618276,-0.247917735,-0.596373317,-0.503922648,-0.652016687,-0.335945617,-0.629294608,-0.272893479,-0.296895851,-0.366585486,-0.351678085,-0.355060445,-0.340039501,-0.176393279
AACS_65985.,0.072243475,-0.013511536,-0.03538676,0.003303286,0.070487826,-0.008013322,0.028638926,0.082114173,-0.085999521,0.049068175,0.052518241,0.051991021,-0.001490133,-0.014917206
AADAC_13.,0.103337618,0.075720053,0.075910652,0.086744301,0.159651303,0.09927283,-0.005412451,0.071694744,0.073809393,0.034882523,0.096475868,0.136709489,0.235042169,0.09330317
AADACL2_344752.,0.145516595,0.11652079,0.391768309,0.094656886,0.223367404,0.122024782,0.113981978,0.145462281,0.100472239,0.10625311,0.205553298,0.034310445,0.133427974,0.189448575
AADACL3_126767.,-0.041121998,0.087440342,-0.056703419,-0.167393412,0.032731772,-0.063458882,-0.068454848,0.006668162,-0.14089116,0.015276815,0.045968358,-0.039673272,0.02310443,-0.071573672
AADACL4_343066.,-0.034503087,-0.167183167,0.104069903,-0.18748639,-0.113072673,0.024646641,-0.087773415,-0.038713972,-0.063611615,-0.019460512,-0.153666089,-0.107156663,0.224219903,-0.188112068
AADAT_51166.,0.083095584,-0.027235652,0.104550194,0.065063706,0.1252379,0.006893065,0.169670784,0.025678121,-0.018712625,0.034052164,0.01901563,-0.003021317,-0.045253865,0.054580175
AAED1_195827.,0.019258771,-0.030759087,-0.332484832,-0.052042251,-0.034786803,0.007957228,0.0734348,-0.005886686,-0.209074606,-0.049190582,0.020735124,-0.087089176,-0.086386912,-0.019429174
AAGAB_79719.,0.056940925,-0.057366436,0.198249223,-0.147519319,0.020635635,0.031512773,-0.013973029,0.004594906,-0.017753768,-0.027322553,-0.157480837,-0.362924186,-0.107167454,-0.067199019
AAK1_22848.,-0.291177339,-0.275135384,-0.31278786,-0.255124485,-0.324642753,-0.196729022,-0.142280367,-0.172822645,-0.209064205,-0.151284887,-0.207404235,-0.475727475,-0.093364589,-0.279456405
AAMDC_28971.,0.012215974,0.000714892,-0.076786173,-0.087313983,-0.16955627,-0.043442579,-0.049449344,-0.03311219,0.042787756,0.018132478,0.020926889,0.162056446,-0.073337912,0.022437212
AAMP_14.,-0.621677027,-0.682118125,-0.90132728,-0.524334447,-0.346706062,-0.647090191,-0.308161477,-0.669659831,-0.398707447,-0.553538154,-0.650404649,-0.384044875,-0.785757675,-0.337169436
AANAT_15.,-0.079179364,-0.123912049,-0.250950071,-0.165094621,-0.121682769,-0.080841294,-0.109692735,-0.202368311,-0.093510701,-0.084665458,-0.095163973,-0.124532043,-0.095829147,-0.195789106
AAR2_25980.,0.082627322,-0.014023065,0.031195119,0.047460174,-0.134697572,-0.036195153,0.138070183,-0.148804979,0.048367623,-0.006694117,-0.051846134,0.112348932,-0.163117442,0.09404032
AARD_441376.,-0.147510674,-0.211750634,-0.261101744,0.040330278,0.007874388,-0.25747256,-0.090763063,-0.081019679,-0.302040056,-0.13230012,-0.288592004,-0.099711494,-0.043073354,-0.336224087
AARS_16.,-1.508408538,-1.205107436,-1.463004814,-1.362524629,-1.554344436,-1.387107625,-1.389744366,-1.273692875,-1.460241793,-1.288609708,-1.226348934,-1.453400965,-1.156354539,-1.538048504
AARS2_57505.,-0.405799325,-0.646314734,-0.481504302,-0.726661546,-0.75111091,-0.60263223,-0.346460335,-0.547182135,-0.182970477,-0.967350738,-0.730115518,-0.88359883,-0.970684083,-0.844162122
AARSD1_80755.,-0.25013303,-0.019518013,-0.43326208,-0.175358675,-0.036850382,-0.110814857,-0.019179244,-0.278150194,-0.102827576,-0.197342106,0.000813652,-0.061120337,-0.21128938,-0.027083848
AASDH_132949.,0.017602116,-0.004374289,-0.094264075,-0.044206394,-0.30189687,0.020055672,-0.093517366,-0.088126421,-0.020470716,0.01074635,-0.000432894,-0.054814484,-0.092047341,0.101266175
AASDHPPT_60496.,-0.498839615,-0.223401054,-0.139715727,-0.618492308,-0.684060578,-0.351566125,-0.167678832,-0.544186273,-0.242149303,-0.577906591,-0.2901749,-0.354431393,-0.605309829,-0.631318056
AASS_10157.,0.115733542,0.067624554,0.170534164,0.118881049,0.253248142,0.089657628,0.07576036,0.037723823,0.210201432,0.070024502,0.039327847,0.137119268,0.087880563,0.186534841
AATF_26574.,-0.467995134,-0.632058655,-0.44760863,-0.460609963,-0.508764605,-0.554945918,-0.282635252,-0.54877659,-0.485001936,-0.401489417,-0.641648567,-0.388125641,-0.577294434,-0.342386655
AATK_9625.,-0.178462116,-0.101278129,-0.293689475,-0.266167667,-0.351685937,-0.278050803,-0.270326824,-0.169752787,-0.414712862,-0.10338872,-0.07523721,-0.104270611,-0.107752058,-0.181343528
ABAT_18.,0.060884614,0.024048351,-0.10544687,-0.027540641,0.025163605,-0.088573406,-0.087192689,-0.053845694,-0.09014286,-0.080427038,-0.12183612,0.004583454,-0.072596684,-0.101425294
ABCA1_19.,-0.066524617,0.06413348,-0.155673802,0.10154811,-0.064664287,-0.049217169,-0.008689687,0.080759374,-0.014629908,-0.061394842,-0.04147167,0.010079301,0.069283082,-0.048085973
ABCA10_10349.,0.219098745,0.092306955,0.327996089,0.076126004,0.249689612,0.009437248,0.194448976,0.085583158,0.274588046,0.113406433,0.184286809,0.225151787,0.076712842,0.222880747
ABCA12_26154.,-0.114929453,-0.134888644,-0.178261875,-0.020853514,-0.042263646,-0.154591853,-0.098612774,-0.100767347,-0.024867166,-0.033787348,0.008668801,-0.114179923,-0.170283911,-0.146636032
ABCA13_154664.,-0.07483023,0.057244082,0.004759122,0.025120801,0.073793866,0.014163898,0.005531259,-0.055558947,-0.02438586,-0.039243062,0.048581203,0.022828733,0.002758699,0.049837824
ABCA2_20.,-0.061632512,0.012173709,0.101558241,0.07098006,-0.005660944,-0.017489129,0.001618351,0.010086035,-0.076196773,-0.077220135,0.011220336,-0.255559967,-0.096447565,-0.393549957
ABCA3_21.,-0.098389278,0.05529873,0.014037863,-0.134705227,-0.041724173,0.058286495,-0.043346131,0.024234927,-0.056143694,-0.199506464,-0.041920459,-0.027429958,-0.13162246,-0.088587282
ABCA4_24.,-0.059672386,-0.12531072,-0.193657421,-0.086483203,-0.014403666,0.000187486,-0.143753205,-0.011565752,0.034777488,-0.052529448,0.040020071,-0.12112863,-0.056041196,0.036350355
ABCA5_23461.,-0.046587399,-0.127849921,-0.071142622,-0.033036521,-0.011649219,-0.165812309,0.029728644,-0.086800787,-0.062821821,-0.152780202,-0.055930971,-0.001051093,-0.044721027,-0.008921284
ABCA6_23460.,0.063749284,0.111415188,0.472009799,-0.019209765,0.031254836,0.083210383,0.179937536,0.018854886,0.050979444,0.026069338,0.105812235,0.013044974,0.184747758,0.204842159
ABCA7_10347.,0.106088335,0.174669378,0.046731215,0.034644959,0.17781024,0.024993439,0.115251328,0.051786172,0.052727439,-0.078482693,0.169474316,0.132303466,-0.134387158,0.106579463
ABCA8_10351.,-0.077770422,-0.073285927,-0.195699419,-0.062124943,-0.149025352,-0.083947701,-0.041971145,-0.062875462,-0.063217294,-0.0223528,-0.024480445,-0.128621272,0.057696901,-0.193993617
ABCA9_10350.,0.067842981,-0.029392217,0.212597752,0.0594614,0.044906799,0.025728849,0.08797026,0.03531626,0.0926921,0.104244984,0.119508189,0.064897021,0.051258792,0.18196973
ABCB1_5243.,-0.026328846,-0.113619326,-0.037740365,-0.054806148,0.03195555,0.037638252,-0.089152416,-0.010733589,0.054102126,-0.021244903,-0.085458497,0.084657459,-0.045189185,-0.051051465
ABCB10_23456.,-0.374273448,-0.41522156,-0.577263448,-0.152124638,-0.187637565,-0.307015664,-0.095119738,-0.440367622,-0.16626912,-0.553235034,-0.333527467,-0.185258636,-0.28626939,-0.585928891
ABCB11_8647.,0.065364145,-0.069856758,0.056567224,-0.038762907,0.013804827,-0.048867708,0.026262973,0.092837446,-0.010334672,-0.101077698,0.002038026,-0.005373785,-0.018264047,0.024822718
ABCB4_5244.,0.090369915,0.028620763,-0.030816293,-0.03419452,0.009060628,0.056743506,0.036500336,0.00438861,-0.018150201,0.048869488,-0.041217823,-0.145014286,-0.012785539,0.043480283
ABCB5_340273.,0.032172403,-0.000230855,-0.080477842,0.060896048,0.040595748,0.032940211,-0.030528412,0.073140333,0.030681323,-0.034222818,0.005292207,-0.021674385,0.111445035,-0.003377116
ABCB6_10058.,0.126580809,-0.138823399,-0.151448676,-0.100362948,0.081339889,-0.064943704,-0.079870808,-0.084226264,-0.180759951,-0.04124481,-0.006268985,0.047511587,-0.166836608,-0.194417912
ABCB8_11194.,0.068481941,0.065567309,-0.190687957,0.132085698,0.035609699,-0.104744566,0.139827242,-0.031586664,0.044545248,0.08541016,0.166524454,0.033730668,0.015803752,-0.027153269
ABCB9_23457.,-0.154489248,-0.077535509,0.040689712,-0.106278603,-0.035215253,-0.062903367,-0.132299889,-0.026657229,-0.01204583,-0.032759335,-0.194899381,-0.047237669,-0.071392199,-0.108642729
