DOSE,HCC1143,HCC1937,MDAMB468,HDQP1,HCC1806,MDAMB436,HS578T,CAL51,BT549,CAL120,4T1,E0771,CAL148,MDAMB231
0.625,1.270624113,1.204922409,1.129318071,1.019807617,1.160050866,1.060770076,0.929858157,1.070600632,1.221915926,1.136651857,1.025646668,1.031075199,1.027003481,1.052703417
1.25,1.225230404,1.304845496,1.146375621,1.075177172,1.226254524,0.999638273,1.073588719,1.159905163,1.365912629,1.377733684,1.033768113,1.110378726,1.022040493,1.230428848
2.5,1.208334082,1.245342261,1.142426336,1.1037032,1.324830564,1.040392808,1.013995146,1.147787144,1.138336844,1.215459604,0.990553477,1.026157335,1.04358124,1.083017788
5,1.206676787,1.166212731,1.077725287,1.057561904,1.392266737,0.910291793,0.980689191,1.140806112,1.152211741,1.014363974,0.99314664,1.065500247,0.959813582,0.982762416
10,1.143618741,1.170908926,1.088144676,1.128940705,1.362610919,0.755713941,0.961544496,1.078767123,1.016814727,0.913816158,0.94126913,1.086834749,1.007858065,0.921539274
20,1.072799705,1.08895625,0.872446503,1.077293044,1.327672894,0.576538678,0.619805461,0.862355111,0.716924627,0.723978778,0.778840232,1.045116057,0.886126993,0.081652871
0.625,1.066229341,1.083634724,1.103615013,1.146007758,1.017964378,1.016833608,0.918807081,1.165203721,1.174216848,1.054990338,1.064489002,1.026162502,1.20742328,1.031626155
1.25,1.085967729,1.204695731,1.090932535,1.161709146,1.053816364,0.998228041,0.874856108,1.081095244,1.211444295,1.089007616,1.071338055,0.989862962,1.217543471,1.10046983
2.5,1.105459387,1.131043051,1.050481234,1.083909023,1.14133513,0.83720129,0.872528487,1.10480807,1.193387218,1.18645561,1.065762896,1.015652779,1.165662249,1.088762911
5,1.080715908,1.093821004,1.054542943,1.191294397,1.238047206,0.869761032,0.872619766,1.048473732,1.022999013,1.089007616,1.072596962,0.987154783,1.19232428,0.989341462
10,1.017799796,1.1300474,0.749583237,1.187154481,1.14288974,0.730883764,0.822598721,1.043495349,0.90306201,0.980561555,1.024099074,1.010335803,1.172083897,0.871398618
20,0.991857915,0.995302567,0.778512549,1.100822093,0.96581778,0.522678611,0.702840307,0.991222324,0.670112144,0.915084688,0.881378003,0.973961727,1.006685829,0.062747534
0.625,1.19962382,1.161323257,1.013219634,1.075608747,1.09094111,0.950081056,0.964315703,1.081653354,1.066534633,0.953847161,1.035700572,1.00284188,1.021734167,1.07030969
1.25,1.237312797,1.194495848,1.108970174,1.113311768,1.161051803,0.996873553,1.121035639,1.095346773,1.137780608,1.143957579,1.077156036,1.041571307,1.048585742,1.201038961
2.5,1.235396409,1.21027539,1.143671712,1.194874957,1.318539989,0.901516906,1.04817178,1.17192849,1.097943586,1.082485925,1.058228515,1.022453203,1.099305385,1.135584416
5,1.224736497,1.116856124,1.06554735,1.179038674,1.341929909,0.84201019,1.000969902,1.072777989,0.957467042,0.921049186,1.036452468,1.029099915,1.073540518,0.968711289
10,1.169680247,1.170293257,1.039842507,1.205592953,1.322320179,0.784066698,0.888299664,0.959300114,0.947285307,0.71817309,1.029309461,1.035840573,1.072374776,0.938321678
20,1.092984775,1.116063045,0.856236485,1.096031216,1.247425184,0.566465956,0.827680813,0.878661088,0.589589677,0.675162571,0.883629727,0.992554743,0.874001106,0.087052947
