x,sample,Patient,id,CellType,Epi,seurat_clusters,subtype,IM,BL1,MSL,M,BL2,LAR
PT089_P1_A01,1,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A02,2,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A03,3,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A04,4,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A05,5,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A06,6,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A07,7,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A08,8,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A09,9,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A10,10,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A11,11,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_A12,12,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B01,13,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B02,14,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B03,15,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B04,16,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B05,17,PT089,P1,Epithelial,Epithelial,0,BL2,0.09893041,0.013962777,-0.04450625,-0.170410385,0.132554439,-0.014991842
PT089_P1_B06,18,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B07,19,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B08,20,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B09,21,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B10,22,PT089,P1,Epithelial,Epithelial,1,BL2,-0.003490545,0.005522917,0.012514951,-0.007810017,0.056285443,0.028436162
PT089_P1_B11,23,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_B12,24,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C01,25,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C02,26,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C03,27,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C04,28,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C05,29,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C06,30,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C07,31,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C08,32,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C09,33,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C10,34,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C11,35,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_C12,36,PT089,P1,Epithelial,Epithelial,1,BL2,0.157048689,0.046434548,0.051374407,-0.201709359,0.068818083,-0.049998409
PT089_P1_D01,37,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D02,38,PT089,P1,Stroma,Other,14,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D03,39,PT089,P1,Epithelial,Epithelial,1,BL1,0.149204539,0.07221073,0.026618015,-0.142771254,0.021439994,0.02259034
PT089_P1_D04,40,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D05,41,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D06,42,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D07,43,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D08,44,PT089,P1,Monocyte,Other,6,NA,NA,NA,NA,NA,NA,NA
PT089_P1_D09,45,PT089,P1,Epithelial,Epithelial,10,BL1,0.079880291,0.142534079,-0.11831435,-0.098614004,-0.06194691,-0.14694025
PT089_P3_A01_S289,46,PT089,P3,Epithelial,Epithelial,5,BL1,0.126242273,0.031214808,-0.001965281,-0.118194817,-0.003881451,-0.011220452
PT089_P3_A02_S290,47,PT089,P3,Epithelial,Epithelial,4,BL1,0.090728523,0.048626194,-0.044122395,-0.103242584,-0.069166932,0.041252665
PT089_P3_A03_S291,48,PT089,P3,Epithelial,Epithelial,5,BL1,0.03487263,0.112436564,-0.032141977,-0.068667417,-0.1099838,0.023466797
PT089_P3_A04_S292,49,PT089,P3,Epithelial,Epithelial,5,BL1,0.0771319,0.085728805,0.006743287,-0.082523059,-0.036829747,0.002366201
PT089_P3_A05_S293,50,PT089,P3,Epithelial,Epithelial,4,BL1,0.1067715,0.053526913,-0.080041044,-0.108543598,-0.071327878,-0.009588047
PT089_P3_A06_S294,51,PT089,P3,Epithelial,Epithelial,1,BL2,0.091701786,-0.023574902,-0.056848456,-0.116269615,0.063153659,0.012283408
PT089_P3_A07_S295,52,PT089,P3,Epithelial,Epithelial,5,BL1,0.046580895,0.042865861,-0.023284125,-0.071167847,-0.049645972,0.005442128
PT089_P3_A08_S296,53,PT089,P3,Epithelial,Epithelial,5,BL2,-0.002574729,0.014567055,-0.071349313,0.019720887,0.031884629,-0.005374098
PT089_P3_A09_S297,54,PT089,P3,Epithelial,Epithelial,5,BL1,0.095112902,0.080131863,-0.044995197,-0.100860527,-0.056551292,0.01732616
PT089_P3_A10_S298,55,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_A11_S299,56,PT089,P3,Epithelial,Epithelial,5,BL1,0.031615453,0.000231631,-0.009439873,-0.070699552,-0.071551791,-0.000692183
PT089_P3_A12_S300,57,PT089,P3,Epithelial,Epithelial,4,M,0.030288448,-0.00858979,0.0524011,0.019276121,-0.120079654,-0.020524953
PT089_P3_B01_S301,58,PT089,P3,Epithelial,Epithelial,5,BL1,0.123201294,0.023685744,-0.024969118,-0.114579123,-0.062292661,0.00171608
PT089_P3_B02_S302,59,PT089,P3,Epithelial,Epithelial,5,BL2,0.09246403,0.014713819,-0.004158638,-0.082666707,0.031978944,0.00594293
PT089_P3_B03_S303,60,PT089,P3,Epithelial,Epithelial,4,BL1,0.078991399,0.081903541,-0.021967769,-0.070195097,0.030035273,0.007811395
PT089_P3_B04_S304,61,PT089,P3,Epithelial,Epithelial,5,LAR,0.018000766,-0.005667663,-0.036715624,-0.056236618,-0.007693188,0.050923323
PT089_P3_B05_S305,62,PT089,P3,Epithelial,Epithelial,5,BL1,0.091249239,0.080452449,-0.055244783,-0.091246128,-0.006940433,-0.022895513
PT089_P3_B06_S306,63,PT089,P3,Epithelial,Epithelial,5,BL1,0.081395477,0.026828868,-0.079839129,-0.09298064,0.01660825,0.00625309
PT089_P3_B07_S307,64,PT089,P3,Epithelial,Epithelial,5,LAR,0.042211853,-0.022635865,0.024195473,-0.066033095,-0.092940626,0.030975361
PT089_P3_B08_S308,65,PT089,P3,Epithelial,Epithelial,5,BL1,-0.018007665,0.061353242,0.015962481,-0.010403419,-0.032573458,0.026868522
PT089_P3_B09_S309,66,PT089,P3,Epithelial,Epithelial,4,BL1,0.050673542,0.074552186,-0.013074381,-0.054243448,-0.156963426,0.053062308
PT089_P3_B10_S310,67,PT089,P3,Epithelial,Epithelial,5,LAR,0.037316535,0.027167347,-0.0692746,-0.080270204,-0.045658445,0.056231951
PT089_P3_B11_S311,68,PT089,P3,Epithelial,Epithelial,4,LAR,0.076817279,-0.036167473,-0.035066329,-0.055897907,-0.050557548,0.046436469
PT089_P3_B12_S312,69,PT089,P3,Epithelial,Epithelial,5,BL1,0.124678557,0.01416502,-0.048032473,-0.127663591,-0.085263398,-0.010989796
PT089_P3_C01_S313,70,PT089,P3,Epithelial,Epithelial,5,BL1,0.061126875,0.099318357,-0.054916437,-0.06286397,-0.06111766,-0.030841751
PT089_P3_C02_S314,71,PT089,P3,Epithelial,Epithelial,5,UNS,0.061456947,-0.007104574,0.026507547,-0.052846964,-0.063052973,-0.009435287
PT089_P3_C03_S315,72,PT089,P3,Epithelial,Epithelial,4,BL1,0.087040631,0.037195144,-0.03854362,-0.089438133,-0.052700931,0.019103193
PT089_P3_C04_S316,73,PT089,P3,Epithelial,Epithelial,5,LAR,0.052926382,-0.051677266,-0.036437668,-0.059633471,-0.014620324,0.032999315
PT089_P3_C05_S317,74,PT089,P3,Epithelial,Epithelial,5,BL1,0.058027254,0.1049435,-0.05805401,-0.03896384,-0.159625532,-0.034953177
PT089_P3_C06_S318,75,PT089,P3,Epithelial,Epithelial,4,BL2,0.018110843,-0.082665368,0.030976681,-0.061364913,0.094797847,0.020307148
PT089_P3_C07_S319,76,PT089,P3,Epithelial,Epithelial,4,BL1,0.106749522,0.028427032,-0.01259048,-0.112056231,-0.017837075,0.013357999
PT089_P3_C08_S320,77,PT089,P3,Epithelial,Epithelial,5,BL1,0.092478818,0.063520022,-0.05994572,-0.089704705,0.008752535,-0.004541684
PT089_P3_C09_S321,78,PT089,P3,Epithelial,Epithelial,5,LAR,0.106339657,-0.016306158,-0.011605807,-0.117206394,-0.130013372,0.042664405
PT089_P3_C10_S322,79,PT089,P3,Epithelial,Epithelial,5,BL1,0.04266128,0.068320312,-0.005507752,-0.037324234,-0.116746289,0.018683326
PT089_P3_C11_S323,80,PT089,P3,Epithelial,Epithelial,5,LAR,0.064473586,0.035054517,-0.084969068,-0.052769967,-0.100767243,0.047900798
PT089_P3_C12_S324,81,PT089,P3,Epithelial,Epithelial,5,LAR,0.052411231,0.002450546,-0.037207726,-0.077562054,-0.03497269,0.042526609
PT089_P3_D01_S325,82,PT089,P3,Epithelial,Epithelial,4,BL1,0.09449945,0.044618854,-0.006778461,-0.045733206,-0.028610374,-0.025843848
PT089_P3_D02_S326,83,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D03_S327,84,PT089,P3,Epithelial,Epithelial,5,BL2,0.079836151,-0.104445124,0.146039196,0.006771866,0.032356723,-0.010697034
PT089_P3_D04_S328,85,PT089,P3,Epithelial,Epithelial,5,BL1,0.051177921,0.04872291,-0.043113461,-0.05142565,-0.026545839,0.005180599
PT089_P3_D05_S329,86,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D06_S330,87,PT089,P3,Epithelial,Epithelial,4,BL1,0.050699575,0.041827219,-0.021235183,-0.000840027,-0.055888494,0.01549473
PT089_P3_D07_S331,88,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D08_S332,89,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D09_S333,90,PT089,P3,Epithelial,Epithelial,4,BL2,0.017867203,-0.003045413,-0.038031474,-0.030277448,0.057647004,-0.011529386
PT089_P3_D10_S334,91,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
PT089_P3_D11_S335,92,PT089,P3,#N/A,Other,#N/A,NA,NA,NA,NA,NA,NA,NA
